Method,Study,CPUE estimate,SD
Cod traps,Carp Lake - Spring 2022,0.03,0.038
Cod traps,Carp Lake - Fall 2022,0.015,0.029
Cod traps,Carp Lake - Spring 2023,0.021,0.031
Cod traps,Fraser Lake - 2021,0.007,0.016
Cod traps,Fraser Lake - 2022,0.007,0.017
Cod traps,Norman Lake - 2009,0.006,0.015
Cod traps,Saxton Lake - 2010,0.003,0.008
Cod traps,Saxton Lake - 2011,0.004,0.011
Cod traps,Skeena Region 2006 - 2011,0.028,0.004
Hoop traps,Norman Lake - 2009,0.006,0.014
Hoop traps,Saxton Lake - large traps 2010,0.004,0.008
Hoop traps,Saxton Lake - small traps 2010,0.001,0.003
Hoop traps,Saxton Lake - 2011,0.004,0.014
Hoop traps,Skeena - short traps 2006 - 2011,0.032,0.01
Hoop traps,Skeena - long traps 2006 - 2011,0.026,0.002
Set-line,Cluculz Lake - 2007,0.004,0.086
Set-line,Norman Lake - 2007,0.000222,0.005
Set-line,Eaglet Lake - 2007,0.0000789,0.002
Set-line,Carp Lake - 2023,0.041,0.044
