Burbot Information; 2007 Study,,,,,,,,,,,
,,,,,,,,,,,
Ageing ID #,Study Lake,Date Collected,Method/Source,Total Length - cm,Girth - cm,Weight (grams),Sex - M/F,Maturity (1-6),Structure,Age,General Comments
1,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,5,Head provided by angler - captured during 2007 fishery
2,Cluculz,21-Jun-07,Trap 8,na,na,na,na,1,Otolith,11,Trapping during ice-free period
4,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,8,Head provided by angler - captured during 2007 fishery
5,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,12,Head provided by angler - captured during 2007 fishery
6,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,9,Head provided by angler - captured during 2007 fishery
7,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,12,Head provided by angler - captured during 2007 fishery
8,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,14,Head provided by angler - captured during 2007 fishery
9,Cluculz,23-Jun-07,Trap 6,59.5,37,na,Unk,1,Otolith,12,Trapping during ice-free period
10,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,10,Head provided by angler - captured during 2007 fishery
11,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,10,Head provided by angler - captured during 2007 fishery
12,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,9,Head provided by angler - captured during 2007 fishery
13,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,14,Head provided by angler - captured during 2007 fishery
14,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,13,Head provided by angler - captured during 2007 fishery
15,Cluculz,21-Jun-07,Trap 7,47.5,25.5,na,Unk,1,Otolith,11,Trapping during ice-free period
16,Cluculz,21-Jun-07,Trap 7,41,19.5,na,Unk,1,Otolith,8,Trapping during ice-free period
17,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,10,Head provided by angler - captured during 2007 fishery
18,Cluculz,Winter 2007,Angler,na,na,na,na,na,Otolith,7+,Head provided by angler - captured during 2007 fishery
C1,Cluculz,early winter,Angler - Jeff,63,na,na,F,3,Otolith,7,Filleted carcass provided by angler
C2,Cluculz,early winter,Angler - Jeff,59,na,na,M,3+,Otolith,8,Filleted carcass provided by angler
C3,Cluculz,early winter,Angler - Jeff,53.5,na,na,M,3,Otolith,12,Filleted carcass provided by angler
C4,Cluculz,early winter,Angler - Jeff,51,na,na,M,3,Otolith,7,Filleted carcass provided by angler
C5,Cluculz,early winter,Angler - Jeff,60,na,na,M,2+,Otolith,11,Filleted carcass provided by angler
C6,Cluculz,early winter,Angler - Jeff,59,na,na,M,3,Otolith,13,Filleted carcass provided by angler
C7,Cluculz,early winter,Angler - Jeff,na,na,na,na,na,Otolith,12,Head provided by angler
C8,Cluculz,early winter,Angler - Jeff,na,na,na,na,na,Otolith,8,Head provided by angler
C9,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,11,Head provided by angler
C10,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,10,Head provided by angler
C11,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,14,Head provided by angler
C12,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,7,Head provided by angler
C13,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,9,Head provided by angler
C14,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,8,Head provided by angler
C15,Cluculz,Feb,Angler - Jeff,na,na,na,na,na,Otolith,8,Head provided by angler
na,Cluculz,5-Jan-07,"angler interview,group 1",61,26,na,unk,unk,na,na,Via angler interview
na,Cluculz,5-Jan-07,"angler interview,group 1",49,23,na,unk,unk,na,na,Via angler interview
na,Cluculz,5-Jan-07,"angler interview,group 1",52,23,na,unk,unk,na,na,Via angler interview
na,Cluculz,5-Jan-07,"angler interview,group 1",42,12,na,unk,unk,na,na,Via angler interview
na,Cluculz,21-Jan-07,"angler interview,group 3",69,28,2213,unk,unk,na,na,Via angler interview
na,Cluculz,23-Feb-07,"angler interview,3",71,31,2469,unk,unk,na,na,Via angler interview
na,Cluculz,25-Feb-07,"angler interview,3254",71,31,2213,unk,unk,na,na,Via angler interview
na,Cluculz,4-Mar-07,"angler interview,3348",61,33,2327,M,1,na,na,Via angler interview
3,Eaglet,13-Jun-07,Trap 9,62,29.5,na,Unk,1,Otolith,12,Trapping during ice-free period
19,Eaglet,13-Jun-07,Trap 5,42,18,na,Unk,1,Otolith,7,Trapping during ice-free period
20,Eaglet,13-Jun-07,Trap 3,61.5,27.5,na,Unk,1,Otolith,9,Trapping during ice-free period
28,Eaglet,11-Jun-07,Trap 9,45,22.5,na,Unk,1,Otolith,6,Trapping during ice-free period
E1,Eaglet,6-Feb-07,Crew - Chuk,43,19,na,M,3,Otolith,9,caught by crew
21,Norman,2-Jan-08,Angler - Cory W,80.5,na,3250,F,3,Otolith,13,Angler Cory W - Winter 2008 fishery
22,Norman,31-Dec-07,Angler - Cory W,48.1,na,680,Unk,1,Otolith,7,Angler Cory W - Winter 2008 fishery
23,Norman,31-Dec-07,Angler - Cory W,54.2,na,1040,M,3,Otolith,11,Angler Cory W - Winter 2008 fishery
24,Norman,2-Jan-08,Angler - Cory W,50.2,na,950,M,3,Otolith,12,Angler Cory W - Winter 2008 fishery
25,Norman,31-Dec-07,Angler - Cory W,74,na,2600,F,3,Otolith,18,Angler Cory W - Winter 2008 fishery
26,Norman,2-Jan-08,Angler - Cory W,55.7,na,1200,M,3,Otolith,11,Angler Cory W - Winter 2008 fishery
27,Norman,31-Dec-07,Angler - Cory W,66.9,na,1850,F,3,Otolith,10,Angler Cory W - Winter 2008 fishery
No1,Norman,17-Feb-07,Angler - Jeff4571,75,29,na,M,2,Otolith,13,Angler allowed dissection
S1,Saxton,2-Mar-07,Crew - Carl,51,23,596,F,3+,Otolith,8,caught by crew
