2000/01 Assessment of Burbot in Eaglet Lake,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 5:  Minnow Trap Data,,,,,,,,,,,,,,,,,,,,,,,,,,
UTM (ZONE 10:NAD 83),,Personnel,Set,,Interim Check,,Pull,,Total Effort (hrs),Water Temp (oC),,Set Depth (m),Bait,Set Type,No. Burbot ,Incidental Fish,,,,,,,Sampling Efficiency,Site Description,Set Weather,Comments
Easting,Northing,,Date,Time,Date,Time,Date,Time,,Set,Pull,,,,,RSC,CC,NSC,SU,LDC,RB,SP,,,,
541761,5993184,RS/CG,7/26/00,15:10,,,7/27/00,13:00,21.8,22,22,1.3,FSH,BTM,1,,,,,,,,2,"West end, off NW shore by CV","overcast, shwrs., ~21o",BB photos.  Kept and frozen
541878,5993385,RS/CG,7/26/00,15:15,,,7/27/00,13:12,22.0,22,22,3.0,FSH,BTM,0,,,,,,,,1,"West end , off hwy. rip rap on NW shore","overcast, shwrs., ~21o",
542858,5992624,RS/CG,7/26/00,15:00,,,7/27/00,12:15,21.2,22,22,2.0,FSH,BTM,0,,,,,,,,1,"SW lake, off rlwy. rip rap","overcast, shwrs., ~21o",
542507,5992523,RS/CG,7/26/00,14:50,,,7/27/00,12:11,21.3,22,22,3.0,FSH,BTM,0,,,,,,,,1,"SW lake, off rlwy. rip rap","overcast, shwrs., ~21o",
542406,5992496,RS/CG,7/26/00,14:45,,,7/27/00,12:08,21.4,22,22,1.3,FSH,BTM,0,,,,,,,,1,"SW lake, off rlwy. rip rap","overcast, shwrs., ~21o",
541462,5991972,RS/CG,7/26/00,13:50,7/27/00,10:30,7/28/00,11:54,46.9,22,21,1.5,FSH,BTM,0,1,,,1,,,,2,"West end, in outlet channel, tied to dead head","pt. cloudy, lt. wind, ~21o",
541467,5992008,RS/CG,7/26/00,13:55,7/27/00,10:35,7/28/00,11:58,45.0,22,21,1.4,FSH,BTM,0,3,,,,,,,2,"West end, in outlet channel, tied to dead head","pt. cloudy, lt. wind, ~21o",
541515,5992067,RS/CG,7/26/00,14:00,7/27/00,10:40,7/28/00,12:00,46.0,22,21,1.7,FSH,BTM,0,,,,,,,,1,"West end, in outlet channel, tied to dead head","pt. cloudy, lt. wind, ~21o",
541564,5992117,RS/CG,7/26/00,14:05,7/27/00,10:45,7/28/00,12:15,46.2,22,21,2.2,FSH,BTM,0,,,,,,,,1,"West end, in outlet channel, tied to dead head","pt. cloudy, lt. wind, ~21o",
541624,5992185,RS/CG,7/26/00,14:10,7/27/00,10:45,7/28/00,12:10,46.0,22,20,2.4,FSH,BTM,0,,,,,,,,1,"West end, in outlet channel, tied to dead head","pt. cloudy, lt. wind, ~21o",One side of one end pushed in upon pull
541642,5992661,RS/CG,7/27/00,12:50,,,7/28/00,12:32,23.7,22,21,1.2,FSH,BTM,0,,,,,,,,1,"West end,  off large landing/pull over on a float","overcast, lt. wind, ~21o",One end pushed away from frame
541809,5993279,RS/CG,7/27/00,13:10,,,7/28/00,13:10,24.0,22,21,1.3,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap","overcast, lt. wind, ~21o",
541761,5993184,RS/CG,7/27/00,13:00,,,7/28/00,13:00,24.0,21,21,1.3,FSH,BTM,0,,,,,,,,1,"West end, off NW shore by CV","overcast, lt. wind, ~21o",Same as set on 7/26/00
542074,5993536,RS/CG,7/27/00,13:16,,,7/28/00,13:16,24.0,21,21,3.0,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap on float, some grass along shore","overcast, lt. wind, ~21o",
541714,5992451,RS/CG,7/27/00,12:45,,,7/28/00,12:23,23.6,22,21,2.0,FSH,BTM,0,,,,,,,,1,"West end, off NW shore near large landing/pull over","overcast, lt. wind, ~21o",
541916,5993454,RS/CG,7/31/00,15:00,8/1/00,15:12,8/2/00,13:46,46.8,25,22,1.3,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap","sunny, lt. wind, ~25o",
541900,5993416,RS/CG,7/31/00,15:15,8/1/00,15:10,8/2/00,13:43,46.5,26,22,0.6,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap","sunny, lt. wind, ~25o",
541875,5993392,RS/CG,7/31/00,15:20,8/1/00,15:08,8/2/00,13:41,46.3,25,22,1.2,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap","sunny, lt. wind, ~25o",
541828,5993315,RS/CG,7/31/00,15:30,8/1/00,15:05,8/2/00,13:38,46.1,26,22,1.5,FSH,BTM,0,,,,,,,,1,"West end, off NW shore hwy. rip rap","sunny, lt. wind, ~25o",
542968,5992773,RS/CG,7/31/00,15:38,8/1/00,14:10,8/2/00,12:24,44.8,25,20,1.5,FSH,BTM,0,,,,,,,,1,"West end, off SW shore on float, next to lily pad/burreed area","sunny, calm, ~25o",
