Easting UTM (ZONE 10:NAD 83),Northing UTM (ZONE 10:NAD 83),Personnel,Set Date,Set Time,Pull Date,Pull Time,Total Effort Hours,Water Temp C at Set,Water Temp C at Pull,Depth at Box (m),Lead Height (m),No. Burbot,NSC,CSU,LSU,PCC,RSC,RB,Sampling Efficiency,Site Description,Set Weather,Comments
541743,5992427,RS/CF,9/5/00,11:30,9/6/00,12:15,24.8,14,15,1.5,6',3,9,3,1,,,,1,"West end, off N shore of oulet mouth and large landing","pt. cloudy, mod. wind, ~12o",Reset at same location.
541743,5992427,RS/CF,9/6/00,12:55,9/7/00,11:25,22.5,15,14,1.5,6',1,10,,1,,,,1,"West end, off N shore of oulet mouth and large landing","sunny, lt. wind, ~15o",Reset at same location.
541743,5992427,RS/CF,9/7/00,11:45,9/11/00,11:45,96.0,14,14,1.5,6',3,14,2,2,1,,,1,"West end, off N shore of oulet mouth and large landing","overcast, lt. wind, shwrs., ~12o",Large BB (750mm) continues to be held for radio tag demonstration by EDI
541743,5992427,RS/CF/RVS,9/11/00,12:25,9/14/00,13:50,73.4,14,15,1.5,6',5,30,6,2,,,,2,"West end, off N shore of oulet mouth and large landing","overcast, calm, rain, ~7o","BB appear not to have eaten.  Interestingly, no PCC were in the catch.  Large BB (750mm) radio tagged today."
541743,5992427,RS/CF,9/14/00,14:15,9/15/00,9:55,19.7,15,14,1.5,6',1,14,2,,,,,1,"West end, off N shore of oulet mouth and large landing","pt. cloudy, lt. wind, ~20o",Moved and sunk set to bottom in deeper water.
,,,,,,,236.4,,,,,13,77,13,6,1,0,0,,,,
546121,5994920,RS/CG,8/8/00,11:15,8/8/00,14:35,3.3,21,22,1.6,6',0,15,1,,1,,,2,"In narrows towards east end, off willow/sedge point on N shore","pt. cloudy, lt. wind, ~20o",Quick set to acquire bait for setlines and box traps. Reset at same location
546121,5994920,RS/CG,8/8/00,14:45,8/9/00,11:20,20.6,22,21,1.6,6',0,7,1,,2,1,,1,"In narrows towards east end, off willow/sedge point on N shore","overcast, lt. wind, ~21o",Reset at same location.
546121,5994920,RS/CF,8/9/00,11:30,8/10/00,9:30,22.0,21,20,1.6,6',0,85,14,1,,,,3,"In narrows towards east end, off willow/sedge point on N shore","pt. cloudy, mod. wind, ~20o",Reset at same location.
546121,5994920,RS/CF,8/10/00,10:00,8/11/00,9:35,23.6,20,19,1.6,6',0,37,11,3,,,,2,"In narrows towards east end, off willow/sedge point on N shore","sunny, lt. wind, warm",Tied off for weekend
