2000/01 Assessment of Burbot in Eaglet Lake,,,,,,,,,,,,,,,,,,,
Appendix 4:  Box Trap Data,,,,,,,,,,,,,,,,,,,
UTM (ZONE 10:NAD 83),,Personnel,Set,,Pull,,Total Effort (hrs),Water Temp (oC),,Set Depth (m),Bait Type,Set Location,No. Burbot ,Incidental Fish,,Sampling Efficiency,Site Description,Set Weather,Comments
Easting,Northing,,Date,Time,Date,Time,,Set,Pull,,,,,Species,No.,,,,
542423,5992665,RS/CS,7/26/00,13:25,7/27/00,11:55,22.5,22,22,6.0,FSH,B,1,NFC,0,2,"SW lake, ~80m off shore near Bateman Cr. Inlet","pt. cloudy, lt. wind, ~23o","BB dead, probable asfixiation.  Kept/frozen. Muddy btm., silt/clay/organic."
543911,5994314,RS/CS,7/26/00,15:35,7/27/00,13:55,22.5,22,22,7.5,FSH,B,0,NFC,0,1,"Mid-lake, SW of Park point","cloudy, shwrs., ~21o","Muddy btm., silt/clay/organic"
542256,5992757,RS/CS,7/27/00,12:10,7/28/00,12:50,24.7,22,21,7.0,FSH,B,1,NFC,0,2,"Mid-lake, ~500m east of outlet bay","overcast, lt. wind, ~20o","Muddy btm., silt/clay/organic"
543718,5994552,RS/CS,7/27/00,14:00,7/28/00,13:40,23.7,22,22,4.1,FSH,B,0,NFC,0,1,"West of Park point, ~80m off N shore","overcast, lt. wind, ~20o","Muddy btm., silt/clay/organic"
542971,5994119,RS/CS,7/31/00,14:18,8/1/00,15:30,25.2,24,20,1.5,FSH,B,0,NFC,0,1,"NW shore off hwy. rip rap, west of boat launch","sunny, calm, ~23o",
542521,5993809,RS/CS,7/31/00,14:25,8/1/00,15:17,24.9,23,20,3.0,FSH,B,0,NFC,0,1,"NW shore off hwy. rip rap, west of boat launch","sunny, calm, ~23o",
543128,5994211,RS/CS,8/1/00,15:33,8/2/00,13:58,22.5,20,22,1.3,FSH,B,0,NFC,0,1,"Off boat launch, out from horsetail and lily pads","overcast, lt.-mod. wind, drizzle",
542391,5993694,RS/CS,8/1/00,15:24,8/2/00,13:52,22.5,20,22,4.2,FSH,B,0,NFC,0,1,"NW shore, off small hwy. pull over","cloudy, cool, drizzle",
544007,5993631,RS/CS,8/2/00,14:35,8/3/00,15:11,24.6,22,26,2.4,FSH,B,0,NFC,0,1,"Off SW shoreline, across from boat launch area","pt. cloudy, lt. wind, ~20o",Dead NSC floating near shore
544335,5993779,RS/CS,8/2/00,14:30,8/3/00,15:05,24.6,22,26,4.2,FSH,B,0,NFC,0,1,"Off SW shoreline, across from boat launch area","pt. cloudy, lt. wind, ~20o",
544517,5994352,RS/CS,8/3/00,14:00,8/4/00,11:21,21.3,24,22,7.0,FSH,B,0,NFC,0,1,"Mid-lake, SE of Park point","pt. cloudy, lt. wind, warm",
544276,5994193,RS/CS,8/3/00,15:14,8/4/00,11:10,20.0,23,22,7.4,FSH,B,2,NFC,0,4,"Mid-lake, south of Park point","pt. cloudy, lt. wind, warm","Both BB dead, probable asfixiation.  Kept/frozen."
546101,5994864,RS/CS,8/8/00,14:57,8/9/00,11:40,20.7,22,21,2.5,FSH,B,0,NFC,0,1,"Off mid-lake point where lake is narrowest, N shore","pt. cloudy, lt. wind, ~21o",
546250,5994742,RS/CS,8/8/00,15:05,8/9/00,11:47,20.7,22,21,3.0,FSH,B,0,NFC,0,1,"Within mid-lake of narrows, ~200m from N shore","pt. cloudy, lt. wind, ~21o",
545979,5994843,RS/CF,8/9/00,12:00,8/10/00,10:15,22.2,21,20,3.1,FSH,B,0,NFC,0,1,West of lake narrows out from N shore,"pt. cloudy, mod. wind, ~20o",
546273,5994918,RS/CF,8/9/00,11:42,8/10/00,10:02,22.3,21,20,2.1,FSH,B,0,NFC,0,1,East of lake narrows off N shore,"pt. cloudy, mod. wind, ~20o",
545919,5994503,RS/CF,8/10/00,10:20,8/11/00,10:30,23.8,20,19,3.6,FSH,B,0,NFC,0,1,Off mid-south shore,"sunny, lt. wind, ~20o",Replaced bait
546639,5994992,RS/CF,8/10/00,10:10,8/11/00,10:00,23.8,20,19,1.8,FSH,B,0,NSC,1,2,Mid-lake within narrows,"sunny, lt. wind, ~20o",Replaced bait.  NSC released
546967,5995143,RS/CF,8/14/00,14:20,8/15/00,13:00,22.7,21,21,2.1,CHK,B,0,NFC,0,1,"Mid-lake, east end","pt. cloudy, lt. wind, 21o",
547500,5995275,RS/CF,8/14/00,14:30,8/15/00,12:52,22.4,21,21,3.2,CHK,B,0,NFC,0,1,"East of mid-lake, N of where rlwy. skirts lake","pt. cloudy, lt. wind, 21o",
547255,5995517,RS/CF,8/15/00,13:10,8/16/00,12:36,23.4,21,20,1.5,CHK/NSC,B,0,NFC,0,1,"NE lake, ~50m off N shore","pt. cloudy, calm, ~21o",
547478,5994946,RS/CF,8/15/00,12:56,8/16/00,12:24,23.5,21,20,1.7,CHK,B,0,NFC,0,1,East of mid-lake in small bay off south shore,"pt. cloudy, calm, ~21o",
547833,5995472,RS/CF,8/16/00,12:32,8/17/00,10:53,22.3,20,19,4.2,PCC/CHK,B,0,NFC,0,1,"Mid-lake, east end","pt. cloudy, lt./mod. wind, ~20o",
547801,5995800,RS/CF,8/16/00,12:45,8/17/00,11:05,22.3,20,19,1.5,NSC/CHK,B,0,NFC,0,1,"East end, off sedge/willow point on N shore","pt. cloudy, lt./mod. wind, ~20o",
548278,5995361,RS/CF,8/17/00,10:57,8/18/00,11:45,24.8,19,18,3.3,PCC/CHK,B,0,NFC,0,1,"East end, off SE shore in mouth of small bay","overcast, calm, ~18o",
548201,5995890,RS/CF,8/17/00,11:08,8/18/00,11:40,24.5,19,18,3.0,NSC/CHK,B,0,NFC,0,1,"Mid-lake, east end","overcast, calm, ~18o",
