"Size Class 
(mm) ",Length (mm),"Wt. 
(g)",Girth (mm),"Sex 
M/F",Stomach Contents,Sacrifice Code,"Tally 
(√)", Age Estimate 
,320,,,F,,33,x,3
,345,,,F,,36,x,7
,410,,,F,,37,x,6
,420,,,F,,38,x,7
,425,,,M,,29,x,7
,430,,,M,,31,x,7
,455,,,F,,35,x,7
,475,,,M,,34,x,6
,500,,,F,,39,x,7
,530,,,,,44,x,9
,540,,,F,,30,x,11
,540,,,,,42,x,8
,570,,,,,45,x,7
,610,,,M,,40,x,12
,620,,,,,43,x,11
,620,2030,320,,,48,x,12
,650,,,M,,26,x,19
,650,,,,,49,x,13
,660,,,M,,28,x,13
,660,1890,320,,,47,x,15
,680,,,F,,23,x,19
,680,,,F,,25,x,15
,730,,,F,,32,x,14
,730,,,,,46,x,10
,760,,,F,,27,x,20
,760,,,,,41,x,16
,780,,,F,,24,x,16
,850,,,,,50,x,16
,,,,,,51,x,13
,,,,,,52,x,14
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
