Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),"Time 
Pulled",UTM Zone,UTM Easting,UTM Northing,"Trap 
Type", Bait ,"Depth
m",Temp C,"Secchi 
Depth m","Burbot 
Captured 
Y/N","No. Burbot 
Captured","Len 
(mm)",Wt (kg),"Girth 
(mm)","Tag 
applied 
(Y/N)","Tag No.
/ Colour","Recap 
(Y/N)","Tag No. 
/ Colour","Fate 
(D/L)",Decompression Stress (Y/N),Treatment,"Sacrificed 
(Y/N)","Sacrificied 
Code",Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
H-10,24-Jun-11,0811,26-Jun-11,0933,10U,476814,5986492,Hoop Trap L,NSC,10,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,24-Jun-11,0834,26-Jun-11,0939,10U,476867,5986580,Hoop Trap L,NSC,10,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,24-Jun-11,0845,26-Jun-11,0953,10U,476989,5986520,Hoop Trap L,NSC,13,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,24-Jun-11,0800,26-Jun-11,0924,10U,476733,5986498,Hoop Trap L,NSC,9,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,24-Jun-11,0822,26-Jun-11,0945,10U,476913,5986506,Hoop Trap L,NSC,13,13,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,26-Jun-11,0938,28-Jun-11,0900,10U,476802,5986508,Hoop Trap L,NSC,10,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,26-Jun-11,0943,28-Jun-11,0909,10U,476865,5986593,Hoop Trap L,NSC,10,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,26-Jun-11,0958,28-Jun-11,0926,10U,476983,5986520,Hoop Trap L,NSC,13,14,3,Y,1,710,2.39,305,N,,Y,Orange FWPG 02918,D,N,N/A,Y,122,"Sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,26-Jun-11,0929,28-Jun-11,0852,10U,476733,5986488,Hoop Trap L,NSC,9.7,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,26-Jun-11,0949,28-Jun-11,0918,10U,476918,5986471,Hoop Trap L,NSC,13,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,28-Jun-11,0905,30-Jun-11,0935,10U,476808,5986502,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,28-Jun-11,0916,30-Jun-11,0946,10U,476861,5986589,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-17,28-Jun-11,0938,30-Jun-11,1007,10U,476981,5986525,Hoop Trap L,NSC,13,15,3,Y,1,725,2.67,290,N,,N,,D,N,N/A,Y,123,"Sacrificed. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-18,28-Jun-11,0859,30-Jun-11,0928,10U,476735,5986487,Hoop Trap L,NSC,9.3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21,28-Jun-11,0924,30-Jun-11,0953,10U,476912,5986491,Hoop Trap L,NSC,13,15,3,Y,1,680,2.27,280,Y,Orange FWPG 02614,N,,L,N,ROSB,N,,"Fish vigorous and healthy at release. Old bait removed, fresh bait added. Trap reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-7,28-Jun-11,1010,30-Jun-11,1039,10U,477602,5986650,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-8,28-Jun-11,1135,30-Jun-11,1204,10U,477592,5987082,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-9,28-Jun-11,1307,30-Jun-11,1336,10U,477590,5986753,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-11,28-Jun-11,1005,30-Jun-11,1035,10U,477463,5986601,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-13,28-Jun-11,0811,30-Jun-11,0842,10U,477268,5986427,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-14,28-Jun-11,0951,30-Jun-11,1019,10U,477279,5986530,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-20,28-Jun-11,1124,30-Jun-11,1153,10U,477720,5986704,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-22,28-Jun-11,1313,30-Jun-11,1342,10U,477643,5986745,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-24,28-Jun-11,1320,30-Jun-11,1351,10U,477670,5987038,Hoop Trap L,NSC,12,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25,28-Jun-11,1016,30-Jun-11,1044,10U,477400,5986895,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-26,28-Jun-11,1115,30-Jun-11,1146,10U,477393,5987029,Hoop Trap L,NSC,11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-28,28-Jun-11,1109,30-Jun-11,1138,10U,477257,5987145,Hoop Trap L,NSC,5.5,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-29,28-Jun-11,0959,30-Jun-11,1028,10U,477241,5986801,Hoop Trap L,NSC,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-30,28-Jun-11,1331,30-Jun-11,1400,10U,477749,5987228,Hoop Trap L,NSC,2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-31,28-Jun-11,1325,30-Jun-11,1353,10U,477498,5987356,Hoop Trap L,NSC,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-27,28-Jun-11,0822,30-Jun-11,0850,10U,477411,5986434,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-91,28-Jun-11,0830,30-Jun-11,0859,10U,477528,5986458,Hoop Trap L,NSC,14,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-16,28-Jun-11,0837,30-Jun-11,0905,10U,477685,5986508,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23,28-Jun-11,0847,30-Jun-11,0916,10U,477804,5986620,Hoop Trap L,NSC,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-10,30-Jun-11,0940,2-Jul-12,1030,10U,476809,5986509,Hoop Trap L,NSC,10.2,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-12,30-Jun-11,0950,2-Jul-12,1038,10U,476863,5986587,Hoop Trap L,NSC,10,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
