Cluculz Lake - 2007 Open Water Burbot Trapping,Event,Trap No.,Trap Type,Location,Zone,N,E,Z (ft),Temp,Time Deployed,Time Retrieved,Effort (hrs:min),Effort (Hrs),Fish (Y/N),Cottid,R Shiner,Pikeminnow,Burbot,PMC
,1,2,CT,,10,462946,5970769,150,,6/20/07 18:10,6/21/07 14:39,20:29,20.48,N,,,,,
,2,3,CT,,10,462458,5970624,141,,6/20/07 18:20,6/21/07 15:00,20:40,20.67,N,,,,,
,3,4,CT,,10,463605,5969586,135,,6/20/07 17:50,6/21/07 14:25,20:35,20.58,N,,,,,
,4,5,CT,,10,461243,5971329,110,,6/20/07 18:40,6/21/07 15:25,20:45,20.75,N,,,,,
,5,6,CT,,10,461413,5971181,127,,6/20/07 18:35,6/21/07 15:15,20:40,20.67,N,,,,,
,6,7,CT,,10,462933,5970733,151,,6/20/07 18:05,6/21/07 14:30,20:25,20.42,Y,,,,2,
,7,8,CT,,10,462500,5970583,153,,6/20/07 18:25,6/21/07 14:44,20:19,20.32,Y,,,,1,
,8,9,CT,,10,463578,5969582,146,,6/20/07 17:55,6/21/07 14:07,20:12,20.20,N,,,,,
,9,2,CT,,10,462923,5970780,49,,6/21/07 14:39,6/22/07 13:32,22:53,22.88,N,,,,,
,10,3,CT,,10,462572,5970567,180,,6/21/07 15:00,6/22/07 13:43,22:43,22.72,N,,,,,
,11,4,CT,,10,462698,5969554,76,,6/21/07 14:25,6/22/07 13:07,22:42,22.70,N,,,,,
,12,5,CT,,10,459092,5970036,158,,6/21/07 15:25,6/22/07 14:20,22:55,22.92,N,,,,,
,13,6,CT,,10,461518,5971191,165,,6/21/07 15:15,6/22/07 14:06,22:51,22.85,N,,,,,
,14,7,CT,,10,462948,5970772,104,,6/21/07 14:30,6/22/07 13:20,22:50,22.83,N,,,,,
,15,8,CT,,10,462543,5970598,170,,6/21/07 14:44,6/22/07 13:57,23:13,23.22,N,,,,,
,16,9,CT,,10,463775,5969615,82,,6/21/07 14:07,6/22/07 12:44,22:37,22.62,N,,,,,
,17,2,CT,,10,462839,5970717,80,,6/22/07 13:32,6/23/07 9:51,20:19,20.32,N,,,,,
,18,3,CT,,10,462405,5970594,140,,6/22/07 13:43,6/23/07 10:04,20:21,20.35,N,,,,,
,19,4,CT,,10,462659,5962600,80,,6/22/07 13:07,6/23/07 10:15,21:08,21.13,N,,,,,
,20,5,CT,,10,453148,5970122,80,,6/22/07 14:20,6/23/07 10:40,20:20,20.33,N,,,,,
,21,6,CT,,10,459595,4970497,144,,6/22/07 14:06,6/23/07 10:30,20:24,20.40,Y,,,,1,
,22,7,CT,,10,462962,5970729,109,,6/22/07 13:20,6/23/07 9:45,20:25,20.42,N,,,,,
,23,8,CT,,10,462449,5970574,147,,6/22/07 13:57,6/23/07 10:00,20:03,20.05,N,,,,,
,24,9,CT,,10,465038,5969887,80,,6/22/07 12:44,6/23/07 9:30,20:46,20.77,N,,,,,
