Eaglet Lake - 2007 Open Water Burbot Trapping,event,Trap No.,Trap Type,Location,Zone,N,E,Z,Temp,Time Deployed,Time Retrieved,Effort (hrs:min),Effort (Hrs),Fish (Y/N),Cottid,R Shiner,Pikeminnow,Burbot,PMC
,1,1,G,Harold Man Park,10,544079,5994605,<10,12.6,5/28/07 11:30,5/29/07 10:45,23:15,23.25,Trap missing,,,,,
,2,2,G,Across from Harold Man Park,10,544484,5993807,<10,12.6,5/28/07 11:34,5/29/07 9:10,21:36,21.60,Y,1,,,,
,3,3,G,100m E of trap 2,10,544639,5993883,<10,12.6,5/28/07 11:38,5/29/07 9:20,21:42,21.70,N,,,,,
,4,4,G,150m E of trap 3,10,544973,5994096,<10,12.6,5/28/07 11:40,5/29/07 9:30,21:50,21.83,Y,2,,,,
,5,5,G,300m E of trap 4,10,545973,5994096,<10,12.6,5/28/07 11:50,5/29/07 9:36,21:46,21.77,N,,,,,
,6,6,G,500m E of trap 5; under 119 railroad sign,10,546046,5994350,<10,12.6,5/28/07 11:55,5/29/07 9:45,21:50,21.83,N,,,,,
,7,7,G,500m E of trap 6; near blow down,10,546538,5994673,<10,12.6,5/28/07 11:57,5/29/07 9:52,21:55,21.92,N,,,,,
,8,8,G,inlet near big bushy stump,10,549445,5995871,<10,12.6,5/28/07 11:59,5/29/07 10:15,22:16,22.27,Y,,1,,,
,9,9,G,50m west of ,10,548667,5996357,<10,12.6,5/28/07 11:59,5/29/07 10:30,22:31,22.52,Y,,1,,,
,10,10,G,,10,548184,5996264,<10,12.6,5/28/07 11:59,5/29/07 10:36,22:37,22.62,Y,1,,,,
,11,11,G,,10,546604,5995459,<10,12.6,5/28/07 11:59,5/29/07 10:45,22:46,22.77,N,,,,,
,12,12,G,,10,543468,5994497,<10,12.6,5/28/07 11:59,5/29/07 11:15,23:16,23.27,Y,1,,,,
,13,13,G,,10,543207,5994297,<10,12.6,5/28/07 11:59,5/29/07 11:30,23:31,23.52,N,,,,,
,14,14,G,,10,542885,5994054,<10,12.6,5/28/07 11:59,5/29/07 11:35,23:36,23.60,Y,,1,,,
,15,2,G,,10,544484,5993807,<10,,5/29/07 9:10,5/30/07 8:05,22:55,22.92,N,,,,,
,16,3,G,,10,544639,5993883,<10,,5/29/07 9:10,5/30/07 8:10,23:00,23.00,N,,,,,
,17,4,G,,10,544973,5994096,<10,,5/29/07 9:20,5/30/07 8:15,22:55,22.92,Y,1,,,,
,18,5,G,,10,545973,5994096,<10,,5/29/07 9:30,5/30/07 8:30,23:00,23.00,N,,,,,
,19,6,G,,10,546046,5994350,<10,,5/29/07 9:36,5/30/07 8:45,23:09,23.15,Y,1,,,,
,20,7,G,,10,546538,5994673,<10,,5/29/07 9:45,5/30/07 8:55,23:10,23.17,N,,,,,
,21,8,G,,10,549445,5995871,<10,,5/29/07 9:52,5/30/07 9:10,23:18,23.30,N,,,,,
,22,9,G,,10,548667,5996357,<10,,5/29/07 10:15,5/30/07 9:25,23:10,23.17,N,,,,,
,23,10,G,,10,548184,5996264,<10,,5/29/07 10:30,5/30/07 9:35,23:05,23.08,Y,2,,,,
,24,11,G,,10,546604,5995459,<10,,5/29/07 10:36,5/30/07 9:55,23:19,23.32,N,,,,,
,25,1,G,,10,544079,5994605,<10,,5/29/07 10:45,5/30/07 10:35,23:50,23.83,Y,,1,,,
,26,12,G,,10,543468,5994497,<10,,5/29/07 11:15,5/30/07 10:40,23:25,23.42,Y,1,,,,
,27,13,G,,10,543207,5994297,<10,,5/29/07 11:30,5/30/07 10:51,23:21,23.35,N,,,,,
,28,14,G,,10,542885,5994054,<10,,5/29/07 11:30,5/30/07 11:00,23:30,23.50,N,,,,,
,29,1,G,,10,543091,5994235,<10,,6/10/07 10:40,6/13/07 10:15,23:35,71.58,Y,3,,,,
,30,2,G,,10,542899,5994070,<10,,6/10/07 10:50,6/13/07 10:20,23:30,71.50,Y,4,,,,
,31,3,G,,10,542525,5993832,<10,,6/10/07 11:00,6/13/07 10:23,23:23,71.38,N,,,,,
,32,4,G,,10,542243,5993645,<10,,6/10/07 11:10,6/13/07 10:27,23:17,71.28,Y,2,,,,
,33,5,G,,10,541675,5992350,<10,,6/10/07 11:20,6/13/07 10:35,23:15,71.25,N,,,,,
,34,6,G,,10,541714,5992258,<10,,6/10/07 11:25,6/13/07 10:38,23:13,71.22,Y,,1,,,
,35,7,G,,10,541998,5992319,<10,,6/10/07 11:40,6/13/07 10:42,23:02,71.03,Y,4,,,,
,36,8,G,,10,542291,5992435,<10,,6/10/07 11:55,6/13/07 10:49,22:54,70.90,Y,1,,,,
,37,9,G,,10,542509,5992520,<10,,6/10/07 12:00,6/13/07 10:53,22:53,70.88,Y,,,1,,
,38,10,G,,10,542854,5992597,<10,,6/10/07 12:05,6/13/07 10:56,22:51,70.85,Y,2,,,,
,39,11,G,,10,543119,5992825,<10,,6/10/07 12:15,6/13/07 11:00,22:45,70.75,N,,,,,
,40,12,G,,10,543493,5993145,<10,,6/10/07 12:20,6/13/07 11:04,22:44,70.73,N,,,,,
,41,13,G,,10,543656,5993355,<10,,6/10/07 12:25,6/13/07 11:09,22:44,70.73,N,,,,,
,42,1,CT,,10,542200,5992608,12,,6/10/07 17:30,6/11/07 11:25,17:55,17.92,N,,,,,
,43,2,CT,,10,542317,5992772,13,,6/10/07 17:45,6/11/07 11:35,17:50,17.83,N,,,,,
,44,3,CT,,10,542570,5993002,20,,6/10/07 17:55,6/11/07 11:40,17:45,17.75,N,,,,,
,45,4,CT,,10,542808,5993115,22,,6/10/07 18:05,6/11/07 11:50,17:45,17.75,N,,,,,
,46,5,CT,,10,543200,5993405,23,,6/10/07 18:20,6/11/07 12:00,17:40,17.67,N,,,,,
,47,6,CT,,10,543524,5993708,27,,6/10/07 18:25,6/11/07 12:07,17:42,17.70,N,,,,,
,48,7,CT,,10,543707,5993927,30,,6/10/07 18:35,6/11/07 12:10,17:35,17.58,Y,,,,,1
,49,8,CT,,10,543474,5993002,12,,6/10/07 18:40,6/11/07 12:12,17:32,17.53,N,,,,,
,50,9,CT,,10,544267,5994024,25,,6/10/07 18:50,6/11/07 12:20,17:30,17.50,Y,1,,,1,
,51,1,CT,,10,542340,5992526,11,,6/11/07 11:25,6/13/07 9:10,21:45,45.75,N,,,,,
,52,2,CT,,10,542553,5992565,11,,6/11/07 11:35,6/13/07 9:17,21:42,45.70,N,,,,,
,53,3,CT,,10,542409,5993634,18,,6/11/07 11:40,6/13/07 9:25,21:45,45.75,Y,,,,1,
,54,4,CT,,10,542616,5993837,13,,6/11/07 11:50,6/13/07 9:30,21:40,45.67,N,,,,,
,55,5,CT,,10,543524,5993363,14,,6/11/07 12:00,6/13/07 9:45,21:45,45.75,Y,,,1,1,
,56,6,CT,,10,544050,5994578,19,,6/11/07 12:07,6/13/07 10:02,21:55,45.92,N,,,,,
,57,7,CT,,10,543707,5993927,30,,6/11/07 12:10,6/13/07 10:05,21:55,45.92,Y,,,1,,
,58,8,CT,,10,543474,5993002,13,,6/11/07 12:12,6/13/07 10:00,21:48,45.80,N,,,,,
,59,9,CT,,10,544282,5994029,26,,6/11/07 12:20,6/13/07 9:55,21:35,45.58,Y,,,,1,
