Norman Lake - 2007 Open Water Burbot Trapping,Event,Trap No.,Trap Type,Location,Zone,N,E,Z,Temp,Time Deployed,Time Retrieved,Effort (hrs:min),Effort (Hrs),Fish (Y/N),Cottid,R Shiner,Pikeminnow,Burbot,PMC
,1,1,CT,,10,476165,5959170,70,,8/1/07 20:15,8/2/07 12:11,15:56,15.93,N,,,,,
,2,2,CT,,10,477441,5959393,46,,8/1/07 19:05,8/2/07 11:40,16:35,16.58,N,,,,,
,3,3,CT,,10,477256,5959379,50,,8/1/07 19:15,8/2/07 11:45,16:30,16.50,N,,,,,
,4,4,CT,,10,477138,5959366,56,,8/1/07 19:20,8/2/07 11:49,16:29,16.48,N,,,,,
,5,5,CT,,10,477020,5959325,63,,8/1/07 19:30,8/2/07 11:53,16:23,16.38,N,,,,,
,6,6,CT,,10,476820,5959292,71,,8/1/07 19:40,8/2/07 11:55,16:15,16.25,N,,,,,
,7,7,CT,,10,476714,5959305,70,,8/1/07 19:50,8/2/07 12:00,16:10,16.17,N,,,,,
,8,8,CT,,10,476525,5959297,73,,8/1/07 20:00,8/2/07 12:03,16:03,16.05,N,,,,,
,9,9,CT,,10,476374,5959218,71,,8/1/07 20:10,8/2/07 12:07,15:57,15.95,N,,,,,
,10,19,CT,,10,476033,5959114,66,,8/1/07 20:25,8/2/07 12:15,15:50,15.83,N,,,,,
,11,1,CT,,10,476165,5959170,70,,8/2/07 12:11,8/4/07 12:55,0:44,48.73,N,,,,,
,12,2,CT,,10,477441,5959393,46,,8/2/07 11:40,8/4/07 12:00,0:20,48.33,N,,,,,
,13,3,CT,,10,477256,5959379,50,,8/2/07 11:45,8/4/07 12:10,0:25,48.42,N,,,,,
,14,4,CT,,10,477138,5959366,56,,8/2/07 11:49,8/4/07 12:15,0:26,48.43,N,,,,,
,15,5,CT,,10,477020,5959325,63,,8/2/07 11:53,8/4/07 12:20,0:27,48.45,N,,,,,
,16,6,CT,,10,476820,5959292,71,,8/2/07 11:55,8/4/07 12:25,0:30,48.50,N,,,,,
,17,7,CT,,10,476714,5959305,70,,8/2/07 12:00,8/4/07 12:35,0:35,48.58,N,,,,,
,18,8,CT,,10,476525,5959297,73,,8/2/07 12:03,8/4/07 12:42,0:39,48.65,N,,,,,
,19,9,CT,,10,476374,5959218,71,,8/2/07 12:07,8/4/07 12:50,0:43,48.72,N,,,,,
,20,19,CT,,10,476033,5959114,66,,8/2/07 12:15,8/4/07 13:00,0:45,48.75,N,,,,,
