Nukko Lake - 2007 Open Water Burbot Trapping,Event,Trap No.,Trap Type,Z (ft),Location,Zone,N,E,Temp,Time Deployed,Time Retrieved,Effort (hrs:min),Effort (Hrs),Fish (Y/N),Cottid,R Shiner,Pikeminnow,Burbot,PMC
,1,1,CT,16,,10,497882,5990471,,6/18/07 12:20,6/19/07 10:36,22:16,22.27,N,,,,,
,2,2,CT,14,,10,500059,5990788,,6/18/07 13:05,6/19/07 10:00,20:55,20.92,N,,,,,
,3,3,CT,22,,10,499713,5991308,,6/18/07 13:00,6/19/07 10:10,21:10,21.17,N,,,,,
,4,4,CT,24,,10,499188,5992115,,6/18/07 12:52,6/19/07 10:25,21:33,21.55,Y,,,1,,
,5,5,CT,26,,10,499317,5991431,,6/18/07 12:40,6/19/07 10:15,21:35,21.58,N,,,,,
,6,6,CT,22,,10,498622,5990414,,6/18/07 12:30,6/19/07 10:45,22:15,22.25,N,,,,,
,7,7,CT,33,,10,499056,5990861,,6/18/07 12:35,6/19/07 10:50,22:15,22.25,N,,,,,
,8,8,CT,19,,10,497862,5990291,,6/18/07 12:25,6/19/07 10:30,22:05,22.08,N,,,,,
,9,9,CT,31,,10,499084,5991499,,6/18/07 12:45,6/19/07 10:20,21:35,21.58,N,,,,,
,10,1,G,<10,,10,500114,5990790,,6/18/07 13:15,6/20/07 11:25,22:10,46.17,Y,1,3,,,
,11,2,G,<10,,10,500163,5990218,,6/18/07 13:18,6/20/07 11:30,22:12,46.20,Y,3,,,,
,12,3,G,<10,,10,499222,5991415,,6/18/07 13:30,6/20/07 11:38,22:08,46.13,N,,,,,
,13,4,G,<10,,10,499153,5991322,,6/18/07 13:31,6/20/07 11:45,22:14,46.23,N,,,,,
,14,5,G,<10,,10,499052,5991203,,6/18/07 13:34,6/20/07 11:47,22:13,46.22,N,,,,,
,15,6,G,<10,,10,498989,5991154,,6/18/07 13:36,6/20/07 11:50,22:14,46.23,Y,1,,,,
,16,7,G,<10,,10,498949,5990543,,6/18/07 13:44,6/20/07 11:53,22:09,46.15,Y,,1,,,
,17,8,G,<10,,10,497698,5990165,,6/18/07 13:48,6/20/07 12:17,22:29,46.48,Y,3,,,,
,18,9,G,<10,,10,498388,5989788,,6/18/07 13:52,6/20/07 12:27,22:35,46.58,Y,5,1,,,
,19,10,G,<10,,10,499991,5990083,,6/18/07 14:00,6/20/07 12:31,22:31,46.52,Y,,18,,,
,20,1,CT,20,,10,497941,5990433,,6/19/07 10:36,,###############################################################################################################################################################################################################################################################,-942058.60,missing,,,,,
,21,2,CT,18,,10,500060,5990714,,6/19/07 10:00,6/20/07 12:24,2:24,26.40,N,,,,,
,22,3,CT,31,,10,499652,5991303,,6/19/07 10:10,6/20/07 12:10,2:00,26.00,Y,,,1,,
,23,4,CT,24,,10,499188,5992115,,6/19/07 10:25,6/20/07 12:01,1:36,25.60,N,,,,,
,24,5,CT,26,,10,499317,5991431,,6/19/07 10:15,6/20/07 12:05,1:50,25.83,N,,,,,
,25,6,CT,22,,10,498622,5990414,,6/19/07 10:45,6/20/07 11:13,0:28,24.47,N,,,,,
,26,7,CT,33,,10,499056,5990861,,6/19/07 10:50,6/20/07 11:40,0:50,24.83,N,,,,,
,27,8,CT,19,,10,497862,5990291,,6/19/07 10:30,6/20/07 11:20,0:50,24.83,N,,,,,
,28,9,CT,31,,10,499084,5991499,,6/19/07 10:20,6/20/07 11:56,1:36,25.60,N,,,,,
