Sampler's Effort Summary - Cluculz Lake,Date,Time Start,Time End,Effort (hrs:min),Effort (hrs),Number of lines,Gear,Comment,Burbot killed,Rainbow killed,Whitefish killed,Lake Trout killed,Brook Trout killed,Bull Trout killed,Other fish killed,Burbot released,Rainbow released,Whitefish released,Lake Trout released,Brook Trout released,Bull Trout released,Other fish released,Comment
,2-Feb,12:20,14:20,2:00,2.00,1,peamouth,4lb 11oz laketrout caught,,,,1,,,,,,,,,,,
,10-Feb,8:30,12:00,3:30,3.50,1,roe,0,,,,,,,,,,,,,,,
,10-Feb,8:35,12:05,3:30,3.50,1,peamouth,0,,,,,,,,,,,,,,,
,23-Feb,12:07,13:45,1:38,1.63,1,peamouth,,2,,,,,,,,,,,,,,
,23-Feb,12:00,13:47,1:47,1.78,1,peamouth,0,,,,,,,,,,,,,,,
,,,,,12.42,,Sum,Sum,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
,,,,,2.48,,Avg,,,,,,,,,,,,,,,,
,,,,,5.00,,Count,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
