Sampler's Effort Summary - Eaglet Lake,Date,Time Start,Time End,Effort (hrs:min) - start time - interview time,Effort (hours),Number of lines,Gear,Comment,Burbot killed,Rainbow killed ,Whitefish killed,Lake Trout killed,Brook Trout killed,Bull Trout killed,Other fish killed,Burbot released ,Rainbow released,Whitefish released,Lake Trout released,Brook Trout released,Bull Trout released,Other fish released,Comment
,6-Jan,1/6/07 7:00,1/7/07 8:35,51:10:00,51.17,2,roe,0:00,,,,,,,,,,,,,,,
,7-Jan,9:00,10:25,1:25,1.42,1,roe,0,,,,,,,,,,,,,,,
,7-Jan,9:00,10:25,1:25,1.42,1,sockeye,0,,,,,,,,,,,,,,,
,7-Jan,9:00,10:25,1:25,1.42,1,sockeye,0,,,,,,,,,,,,,,,
,6-Feb,9:21,18:00,8:39,8.65,1,peamouth,0,,,,,,,,,,,,,,,
,6-Feb,9:33,18:05,8:32,8.53,1,peamouth,0,,,,,,,,,,,,,,,
,6-Feb,11:09,19:08,7:59,7.98,1,peamouth,0,,,,,,,,,,,,,,,
,6-Feb,11:17,19:15,7:58,7.97,1,peamouth,0,,,,,,,,,,,,,,,
,6-Feb,12:48,19:30,6:42,6.70,1,peamouth,,1,,,,,,,,,,,,,,
,6-Feb,13:00,19:35,6:35,6.58,1,peamouth,0,,,,,,,,,,,,,,,
,26-Feb,14:50,16:40,1:50,1.83,1,6peamouth and 1 pikeminnow,,,,,,,,7,,,,,,,,
,3-Mar,12:30,16:25,3:55,3.92,1,peamouth,0,,,,,,,,,,,,,,,
,3-Mar,14:00,16:20,2:20,2.33,1,peamouth,0,,,,,,,,,,,,,,,
,3-Mar,14:25,16:11,1:46,1.77,1,peamouth,0,,,,,,,,,,,,,,,
,3-Mar,14:47,16:08,1:21,1.35,1,peamouth,,,,,,,,,,,,,,,3,
,,,,,113.03,Sum,,sum,1,0,0,0,0,0,7,0,0,0,0,0,0,3,
,,,,,7.54,Avg,,,,,,,,,,,,,,,,,
,,,,,16,Count,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
