Sampler's Effort Summary - Norman Lake,Date,Time Start,Time End,Effort (hrs:min) - start time - interview time,Effort (hours),Number of lines,Gear,Comment,Burbot killed,Rainbow killed,Whitefish killed,Lake Trout killed,Brook Trout killed,Bull Trout killed,Other fish killed,Burbot released,Rainbow released,Whitefish released,Lake Trout released,Brook Trout released,Bull Trout released,Other fish released,Comment
,10-Feb,13:30,17:40,4:10,4.17,1,peamouth,0:00,,,,,,,,,,,,,,,
,10-Feb,13:40,17:45,4:05,4.08,1,peamouth,,1,,,,,,,,,,,,,,
,23-Feb,15:21,18:49,3:28,3.47,1,peamouth,0,,,,,,,,,,,,,,,
,23-Feb,15:26,18:53,3:27,3.45,1,peamouth,0,,,,,,,,,,,,,,,
,4-Mar,15:00,18:30,3:30,3.50,1,peamouth,0,,,,,,,,,,,,,,,
,4-Mar,15:10,18:30,3:20,3.33,1,peamouth,0,,,,,,,,,,,,,,,
,,,,,22.00,Sum,,,,,,,,,,,,,,,,,
,,,,,3.67,Avg,,,,,,,,,,,,,,,,,
,,,,,6.00,Count,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
