Sampler's Effort Summary - Nukko Lake,Date,Time Start,Time End,Effort (hrs:min) - start time - interview time,Effort (hours),Number of lines,Gear,Angler ID,Comment,Burbot killed,Rainbow killed,Whitefish killed,Lake Trout killed,Brook Trout killed,Bull Trout killed,Other fish killed,Burbot released,Rainbow released,Whitefish released,Lake Trout released,Brook Trout released,Bull Trout released,Other fish released,Comment
,15-Feb,16:00,18:00,2:00,2.00,1,worms,,Peamouth,,,,,,,5,,,,,,,,
,22-Feb,10:07,11:30,1:23,1.38,1,worms,,Peamouth,,,,,,,5,,,,,,,,
,22-Feb,11:51,20:00,8:09,8.15,1,peamouth,,,,,,,,,,,,,,,,,
,22-Feb,12:00,20:10,8:10,8.17,1,peamouth,,,,,,,,,,,,,,,,,
,8-Mar,8:45,12:07,3:22,3.37,1,peamouth,,,,,,,,,,,,,,,,,
,8-Mar,9:00,12:20,3:20,3.33,1,peamouth,,,,,,,,,,,,,,,,,
,,,,,26.40,Sum,,,,,,,,,,10,,,,,,,,
,,,,,4.40,Avg,,,,,,,,,,,,,,,,,,
,,,,,6.00,Count,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
