Sampler's Effort Summary - Saxton Lake,Date,Time Start,Time End,Effort (hrs:min) - start time - interview time,Effort (hrs:min),Effort (hours),Number of lines,Gear,Comment,Burbot killed,Rainbow killed,Whitefish killed,Lake Trout killed,Brook Trout killed,Bull Trout killed,Other fish killed,Burbot released,Rainbow released,Whitefish released,Lake Trout released,Brook Trout released,Bull Trout released,Other fish released,Comment
,22-Feb,14:00,16:00,2:00,,2.00,1,peamouth,,,,,,,,,,,,,,,,
,22-Feb,14:07,16:02,1:55,,1.92,1,peamouth,,,,,,,,,,,,,,,,
,22-Feb,16:15,18:00,1:45,,1.75,1,peamouth,,,,,,,,,,,,,,,,
,22-Feb,16:22,18:03,1:41,,1.68,1,peamouth,pikeminnow,,,,,,,1,,,,,,,,
,1-Mar,3/1/07 11:03,3/2/07 14:00,2:57,26:57:00,26.95,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,1-Mar,3/1/07 11:36,3/2/07 14:12,2:36,26:36:00,26.60,1,peamouth,line was pulled on Mar 2,1,,,,,,,,,,,,,,
,1-Mar,3/1/07 12:04,3/2/07 14:27,2:23,26:23:00,26.38,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,1-Mar,3/1/07 12:37,3/2/07 14:36,1:59,25:59:00,25.98,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,1-Mar,3/1/07 13:02,3/2/07 14:45,1:43,25:43:00,25.72,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,1-Mar,3/1/07 13:31,3/2/07 14:56,1:25,25:25:00,25.42,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,1-Mar,3/1/07 14:03,3/2/07 15:11,1:08,25:08:00,25.13,1,peamouth,line was pulled on Mar 2,,,,,,,,,,,,,,,
,,,,,,189.53,Sum,,,1,,,,,,1,,,,,,,,
,,,,,,17.23,Avg,,,,,,,,,,,,,,,,,
,,,,,,11,Count,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
