Water,SurveyDate,Method,Sets,BB catch,CPE
Burns Lake,10/May/2008,CodTrap,34,36,1.1
Burns Lake,10/May/2008,HoopLong,54,69,1.3
Burns Lake,10/May/2008,HoopShort,93,111,1.2
Burns Lake,28/Oct/2008,CodTrap,26,33,1.3
Burns Lake,28/Oct/2008,HoopLong,7,9,1.3
Burns Lake,28/Oct/2008,HoopShort,29,37,1.3
Decker Lake,09/May/2008,CodTrap,68,76,1.1
Decker Lake,09/May/2008,HoopLong,41,51,1.2
Decker Lake,09/May/2008,HoopShort,62,74,1.2
Decker Lake,27/Oct/2008,CodTrap,38,50,1.3
Decker Lake,27/Oct/2008,HoopLong,11,14,1.3
Decker Lake,27/Oct/2008,HoopShort,37,48,1.3
Maxan Lake,04/May/2006,CodTrap,110,135,1.2
Maxan Lake,04/May/2006,HoopLong,130,167,1.3
Maxan Lake,17/May/2007,CodTrap,123,173,1.4
Maxan Lake,17/May/2007,HoopLong,115,149,1.3
Nilkitkwa Lake,14/May/2009,CodTrap,47,80,1.7
Nilkitkwa Lake,14/May/2009,HoopShort,65,176,2.7
Nilkitkwa Lake,07/Jun/2009,CodTrap,36,55,1.5
Nilkitkwa Lake,07/Jun/2009,HoopShort,43,86,2.0
Nilkitkwa Lake,11/May/2010,CodTrap,18,29,1.6
Nilkitkwa Lake,11/May/2010,HoopShort,103,193,1.9
Pinkut Lake,27/May/2009,CodTrap,31,37,1.2
Pinkut Lake,27/May/2009,HoopLong,20,26,1.3
Pinkut Lake,27/May/2009,HoopShort,40,50,1.3
Pinkut Lake,15/Jun/2009,CodTrap,33,38,1.2
Pinkut Lake,15/Jun/2009,HoopShort,31,41,1.3
Pinkut Lake,11/Oct/2009,HoopLong,1,1,1.0
Pinkut Lake,11/Oct/2009,HoopShort,61,90,1.5
