Trap #,Date Set,Time Set,Date Pulled ,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Open/ Closed Funnel (OF/CF) , Bait ,Depth m,Temp C,Secchi Depth,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (MM),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Sacrificed (Y/N),Sacrificied Code,Taggged Mortality,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
10,3-Jun-09,1820,4-Jun-09,1739,10U,476474,5959535,Cod Trap, CF , Sockeye ,22.0,14,1.2,Y,1,565,1.25,255,Y,FW YELLOW BC02769,N,,*L,N,,,"Bait replenished, lg vigorous fish, same issues as other burbot floating? Fish seem to gulp air when trap is being untied. *fish was released with fishfrom trap 9. Floating on back with good vital signs. **Fish was located again near bouy 12 at 1939 still on back but finning vigorously. Gas bubble appeared to have moved nearer the vent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3-Jun-09,1815,4-Jun-09,1707,10U,476706,5959566,Cod Trap, CF , Sockeye ,21.0,14,1.2,Y,1,460,0.75,220,Y,FW YELLOW BC02771,N,,*L,N,,,"Bait not replenished, fish not reviving well, floats on back, fish only out of trap for 2 min - into bucket of fresh water. Handled once for length, girth and weight - handled again for floy tagging approx. 15-20 sec. Fish released with fish caught in trap 10. *fish was last seen on back floating, breathing well and trying to right itself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-Jun-09,1930,4-Jun-09,1514,10U,478111,5959397,Cod Trap, OF , Sockeye ,12.0,13,1.2,Y,1,500,1.03,240,Y,FW YELLOW BC02773,N,,L,N,,,"Fish having trouble reviving, kept in water bucket and was put in lake in attempt to get fish going. Fish appeared to be full of air (gas). Fish was put into trap 5 to see if this would help it to live, die, or escape. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-Jun-09,1925,4-Jun-09,1443,10U,478267,5959320,Cod Trap, OF , Sockeye ,9.8,14,1.2,N,0,,,,,,,,,,,,"NSC released, suffiecient bait left for re-set",NSC,1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-Jun-09,1935,4-Jun-09,1540,10U,477913,5959415,Cod Trap, OF , Sockeye ,14.0,13,1.2,N,0,,,,,,,,,,,,"No fish caught, bottom of trap was partially open (approx. 5in)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-Jun-09,1940,4-Jun-09,1555,10U,477800,5959516,Cod Trap, CF , Sockeye ,12.0,14,1.2,N,0,,,,,,,,,,,,Bait not replenished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-Jun-09,1945,4-Jun-09,1609,10U,477614,5959495,Cod Trap, CF , Sockeye ,16.0,14,1.2,N,0,,,,,,,,,,,,"Only 1 pc of bait left in trap, replenished bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-Jun-09,2000,4-Jun-09,1635,10U,477354,5959576,Cod Trap, CF , Sockeye ,22.0,14,1.2,N,0,,,,,,,,,,,,"No bait taken, bait not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3-Jun-09,2005,4-Jun-09,1648,10U,477132,5959575,Cod Trap, OF , Sockeye ,23.0,14,1.2,N,0,,,,,,,,,,,,"No bait taken, bait not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3-Jun-09,2010,4-Jun-09,1657,10U,476904,5959573,Cod Trap, OF , Sockeye ,23.0,14,1.2,N,0,,,,,,,,,,,,"Sockeye for bait, no fish caught, bait not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4-Jun-09,1856,5-Jun-09,1258,10U,476156,5959318,Cod Trap, CF , Sockeye ,25.0,14,0.9,Y,1,645,1.49,260,Y,FW YELLOW BC02766,N,,L,N,,,"Fish and trap sent to bottom. Fish to be released tomorrow, sufficient bait in trap, not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4-Jun-09,1800,5-Jun-09,1243,10U,476437,5959517,Cod Trap, CF , Sockeye ,22.0,14,0.9,Y,1,390,0.43,175,Y,FW YELLOW BC02767,N,,L,N,,,"Fish appeared vigorous when sent to the bottom with net. Lots of bait remaining in trap, bait not replenished. Condition on lake - choppy/windy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4-Jun-09,1701,5-Jun-09,1205,10V,476898,5959566,Cod Trap, OF , Sockeye ,22.0,15,0.9,Y,1,530,1.17,250,Y,FW YELLOW BC02768,N,,L,N,,,"All bait eaten, trap not moved. Fish appear to be not affected by decompression as previous fish. Fish was sent with trap back to the bottom - will release tomorrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4-Jun-09,1446,5-Jun-09,1029,10U,478281,5959311,Cod Trap, OF , Sockeye ,6.9,15,0.9,N,0,,,,,,,,,,,,"No fish caught, bait not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-Jun-09,1524,5-Jun-09,1041,10U,478115,5959401,Cod Trap, OF , Sockeye ,12.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, bait not replenished, replenished next set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-Jun-09,1543,5-Jun-09,1048,10U,477911,5959409,Cod Trap, OF , Sockeye ,14.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, bait not replenished, replenished next set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-Jun-09,1601,5-Jun-09,1056,10U,477782,5959517,Cod Trap, CF , Sockeye ,14.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, trap re-set (see new data sheet T#4), bait refreshed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-Jun-09,1614,5-Jun-09,1108,10U,477606,5959494,Cod Trap, CF , Sockeye ,16.0,15,0.9,N,0,,,,,,,,,,,,"Fish from trap #2 was alive and well, fish was not taken from trap. BottomCinch was released and fish was sent (with net) back to the bottom. *   see data sheet from June 3/09 Traps 2 and 5. Trap 5 moved June 5/09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-Jun-09,1637,5-Jun-09,1131,10U,477335,5959582,Cod Trap, CF , Sockeye ,22.0,15,0.9,N,0,,,,,,,,,,,,No fish caught. Trap 6 moved June 5/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4-Jun-09,1652,5-Jun-09,1144,10U,477109,5959573,Cod Trap, OF , Sockeye ,22.0,15,0.9,N,0,,,,,,,,,,,,"No fish caught, bait gone. Trap moved June 5/09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4-Jun-09,1710,5-Jun-09,1221,10U,476347,5959489,Cod Trap, CF , Sockeye ,24.0,15,0.9,N,0,,,,,,,,,,,,"No fish caught, trap had drifted/or been moved down lake past trap #10. Trap was relocated back uplake into sequential order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4-Jun-09,1906,5-Jun-09,1317,10U,475911,5959261,Cod Trap, CF , Sockeye ,24.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, lots of bait, bait not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4-Jun-09,1915,5-Jun-09,1327,10U,475723,5959225,Cod Trap, CF , Sockeye ,23.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, bait not eaten, not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4-Jun-09,1924,5-Jun-09,1335,10U,475478,5959148,Cod Trap, OF , Sockeye ,19.0,14,0.9,N,0,,,,,,,,,,,,"No fish caught, lots of bait, not replenished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
