Trap #,Date Set,Time Set,Date Pulled,Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour2,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificied Code,Comments,Sp.,No.L,No.D,Len,Len3,Len4,Len5,Len6,Sp.7,No.L8,No.D9,Len10,Len11,Len12,Len13,Len14,Sp.15,No.L16,No.D17,Len18,Len19,Len20,Len21,Len22,Sp.23,No.L24,No.D25,Len26,Len27,Len28,Len29,Len30,Sp.31,No.L32,No.D33,Len34,Len35,Len36
TN1,23-May-10,1348,24-May-10,0730,10U,470418,5987577,Trap Net, N/A ,4.6,9,2,N,0,,,,,,,,,,,,,Large percentage of NSC kept for bait. Trap was disabled due to time contraints. Will reset when bait needed. 800lbs of bait caught.,LSU,357,0,340,370,390,340,300,NSC,191,0,290,210,220,260,240,,,,,,,,,,,,,,,,,,,,,,
TN1,28-May-10,0730,30-May-10,0806,10U,470418,5987477,Trap Net, N/A ,4.6,9,2.5,N,0,,,,,,,,,,,,,Majority of fish were NSC. Sucker spawn is winding down.,NSC,223,0,570,300,260,180,460,LSU,36,0,350,310,280,360,320,,,,,,,,,,,,,,,,,,,,,,
TN1,31-May-10,0800,1-Jun-10,0741,10U,470418,5987477,Trap Net, N/A ,4.6,11,2,N,0,,,,,,,,,,,,,"NBC, all fish kep for bait except for the 520mm fish.",NSC,41,0,520,400,230,270,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN1,01-Jun-10,0801,4-Jun-10,0836,10U,470418,5987477,Trap Net, N/A ,4.6,11,2.5,N,0,,,,,,,,,,,,,Trap pulled and relocated. No long nose suckers being caught.,NSC,9,0,270,310,200,250,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN1,04-Jun-10,1009,4-Jun-10,2000,10U,474812,5986282,Trap Net, N/A ,2.5,11,2,Y,1,510,1.02,200,Y,Orange FWPG 02958,N,,L,N,ROSB,N,,"50% cloud cover, BB #02958 released over side of boat, successful. Trap ne reset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN1,05-Jun-10,0828,6-Jun-10,0820,10U,474812,5986282,Trap Net, N/A ,2.5,11,2.5,N,0,,,,,,,,,,,,,NBC during set. Trap pulled for spring session.,NSC,40,0,310,200,410,260,330,LSU,2,0,400,300,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,02-Jun-10,1205,5-Jun-10,1037,10U,475115,5985952,Hoop Trap S, NSC ,10.0,12,2,N,0,,,,,,,,,,,,,"NFC, trap reset same general location, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,02-Jun-10,1053,5-Jun-10,0940,10U,474469,5985852,Hoop Trap S, NSC ,1.8,12,2,N,0,,,,,,,,,,,,,"NFC, trap set in same general location. Old bait removed, fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,02-Jun-10,1057,5-Jun-10,0952,10U,474583,5985932,Hoop Trap S, NSC ,6.0,12,2,N,0,,,,,,,,,,,,,"NFC, trap reset in same general location. No fresh bait added. Due to low production of trap, limited bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-4,02-Jun-10,1219,5-Jun-10,1043,10U,475452,5986023,Hoop Trap S, NSC ,10.0,12,2,N,0,,,,,,,,,,,,,"NFC, trap set in same general location. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-5,02-Jun-10,1214,5-Jun-10,1031,10U,474880,5985868,Hoop Trap S, NSC ,9.3,12,2,N,0,,,,,,,,,,,,,"NFC, trap moved to new location. No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-6,02-Jun-10,1049,5-Jun-10,0946,10U,474508,5985792,Hoop Trap S, NSC ,6.3,12,2,N,0,,,,,,,,,,,,,"NFC, no fresh bait added, trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,22-May-10,0910,24-May-10,0924,10U,476048,5985750,Hoop Trap S, Sockeye/2 NSC ,15.1,10.3,2,N,0,,,,,,,,,,,,,"NFC, Two NSC added. Reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,22-May-10,0920,24-May-10,0911,10U,475595,5985723,Hoop Trap S, Sockeye ,13.6,10.3,2,N,0,,,,,,,,,,,,,"NFC, NSC added as bait. Overcast and cool breeze out of SE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,22-May-10,0930,24-May-10,0918,10U,475883,5985716,Hoop Trap S, Sockeye ,14.8,10.3,2,N,0,,,,,,,,,,,,,"NFC, Two NSC added. Reset in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-4,22-May-10,0949,24-May-10,0940,10U,476349,5985948,Hoop Trap S, Sockeye ,15.5,10.3,2,N,0,,,,,,,,,,,,,"NFC, Trap set in same general location. NFC For all small hoops. NSC added to bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-5,22-May-10,0943,24-May-10,0931,10U,476192,5985861,Hoop Trap S, Sockeye ,15.3,10.3,2,N,0,,,,,,,,,,,,,"NFC, NSC added for bait 05/24/10, Trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-6,22-May-10,0915,24-May-10,0900,10U,475427,5985750,Hoop Trap S, Sockeye ,12.6,10.2,2,N,0,,,,,,,,,,,,,"NFC, NSC added for bait, Trap set in same general location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,24-May-10,0926,25-May-10,0948,10U,476021,5985804,Hoop Trap S, Sockeye +2 NSC ,15.0,9,2,N,0,,,,,,,,,,,,,"2 NSC added to sockeye bait. Set in same location, no fish caught 05/24/10. NFC, No bait added. Set in same general location 05/25/10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,24-May-10,0914,25-May-10,0940,10U,475537,5985735,Hoop Trap S, Sockeye +2 NSC ,13.0,9,2,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,24-May-10,0921,25-May-10,0944,10U,475837,5985790,Hoop Trap S, Sockeye +2 NSC ,15.0,9,2,N,0,,,,,,,,,,,,,"NFC. Trap set in sme general location, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-4,24-May-10,0942,25-May-10,0958,10U,476262,5985962,Hoop Trap S, Sockeye +2 NSC ,15.0,9,2,N,0,,,,,,,,,,,,,"NFC. Trap set in sme general location, no fresh bait added. Sunny and cloudy, Warm and light, choppy water.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-5,24-May-10,0935,25-May-10,0953,10U,476168,5985903,Hoop Trap S, Sockeye +2 NSC ,15.0,9,2,N,0,,,,,,,,,,,,,"NFC. Trap set in sme general location, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-6,24-May-10,0907,25-May-10,0932,10U,475318,5985802,Hoop Trap S, Sockeye +2 NSC ,12.0,9,2,N,0,,,,,,,,,,,,,"NFC. Trap set in sme general location, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,25-May-10,0951,27-May-10,1058,10U,476005,5985866,Hoop Trap S, Sockeye + NSC ,15.0,10,2.5,N,0,,,,,,,,,,,,,"No fresh bait added 05/25/10, NFC. Trap relocated-has not caught fish during sampling periods, to S shore, 1 NSC added to bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,25-May-10,0942,27-May-10,1035,10U,475517,5985755,Hoop Trap S, Sockeye + NSC ,13.0,10,2.5,N,0,,,,,,,,,,,,," NFC. Trap relocated-has not caught fish during sampling periods, to W end, No fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,25-May-10,0946,27-May-10,1040,10U,475806,5985778,Hoop Trap S, Sockeye + NSC ,15.0,10,2.5,N,0,,,,,,,,,,,,,"NFC. Trap relocated-has not caught fish during sampling periods, to W end, 1 NSC added to bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-4,25-May-10,1000,27-May-10,1111,10U,476242,5985963,Hoop Trap S, Sockeye + NSC ,15.0,10,2.5,N,0,,,,,,,,,,,,,"NFC. Trap relocated-has not caught fish in current location, to S shore, NSC added to bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-5,25-May-10,0955,27-May-10,1105,10U,476140,5985947,Hoop Trap S, Sockeye + NSC ,15.0,10,2.5,N,0,,,,,,,,,,,,,"NFC. Trap relocated-has not caught fish in current location or during sampling periods, to S shore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-6,25-May-10,0934,27-May-10,1031,10U,475327,5985803,Hoop Trap S, Sockeye + NSC ,11.0,10,2.5,N,0,,,,,,,,,,,,,"NFC. Trap relocated-has not caught fish during sampling period, to W end of lake, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,27-May-10,1101,29-May-10,0851,10U,475973,5985765,Hoop Trap S, Sockeye + NSC ,15.0,11,2,N,0,,,,,,,,,,,,,"NFC, trap relocated to west end of the lake. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,27-May-10,1048,29-May-10,0946,10U,474475,5985816,Hoop Trap S, Sockeye + NSC ,2.0,11,2,N,0,,,,,,,,,,,,,"NFC, trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,27-May-10,1046,29-May-10,0953,10U,474505,5985920,Hoop Trap S, Sockeye + NSC ,1.8,11,2,N,0,,,,,,,,,,,,,"NFC, trap reset in same general location. No Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-4,27-May-10,1116,29-May-10,0837,10U,476287,5985772,Hoop Trap S, Sockeye + NSC ,15.0,11,2,N,0,,,,,,,,,,,,,"NFC, trap reset in new location, no fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-5,27-May-10,1108,29-May-10,0848,10U,476170,5985801,Hoop Trap S, Sockeye + NSC ,15.0,11,2,N,0,,,,,,,,,,,,,"NFC, trap relocated to west end of the lake. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-6,27-May-10,1051,29-May-10,0941,10U,474435,5985727,Hoop Trap S, Sockeye + NSC ,2.0,11,2,N,0,,,,,,,,,,,,,"NBC. Trap reset in same general location, NSC added to bait.",NSC,1,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-1,29-May-10,0900,31-May-10,1009,10U,475019,5985835,Hoop Trap S, NSC ,9.9,10,2.5,N,0,,,,,,,,,,,,,"NFC, trap set in same general location. Old bait removed, fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2,29-May-10,0949,31-May-10,0854,10U,474452,5985804,Hoop Trap S, NSC ,2.5,11,2.5,N,0,,,,,,,,,,,,,"NFC, trap set in same general location. Old bait removed, fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
