Trap #,Date Set (mm/dd/yy),Time Set,Date Pulled (mm/dd/yy),Time Pulled,UTM Zone,UTM Easting,UTM Northing,Trap Type, Bait ,Depth m,Temp C,Secchi Depth m,Burbot Captured Y/N,No. Burbot Captured,Len (mm),Wt (kg),Girth (mm),Tag Applied (Y/N),Tag No. / Colour,Recap (Y/N),Tag No. / Colour,Fate (D/L),Decompression Stress (Y/N),Treatment,Sacrificed (Y/N),Sacrificed Code,Comments,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len,Len,Len,Sp.,No.L,No.D,Len,Len,Len
1,23-Jun-11,1207,25-Jun-11,1313,10U,476741,5985878,Cod Trap,5pc NSC,15,15,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23-Jun-11,1222,25-Jun-11,1334,10U,477139,5985795,Cod Trap,NSC,15,15,3,N,0,,,,,,,,,,,,,"Overcast with light drizzle. NFC, Trap reset in same general location, Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23-Jun-11,1201,25-Jun-11,1307,10U,476627,5985948,Cod Trap,NSC,15,16,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23-Jun-11,0920,25-Jun-11,0953,10U,475528,5986208,Cod Trap,NSC,5.3,14,3,N,0,,,,,,,,,,,,,"NBC, NSC ate some of bait. Trap re-located to mid-lake. Fresh bait added, NSC Kept for bait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23-Jun-11,0902,25-Jun-11,0926,10U,475245,5986227,Cod Trap,NSC,3.8,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added, old bait left in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23-Jun-11,0839,25-Jun-11,0857,10U,474964,5986200,Cod Trap,NSC,5,14,3,N,0,,,,,,,,,,,,,"NFC, Trap reset in same general location. Fresh bait added",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23-Jun-11,0849,25-Jun-11,0903,10U,475118,5986185,Cod Trap,NSC,5.6,14,3,N,0,,,,,,,,,,,,,"NBC. NSC added to bait, trap reset in mid-lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23-Jun-11,1146,25-Jun-11,1242,10U,476643,5986275,Cod Trap,NSC,14,16,3,N,0,,,,,,,,,,,,,"NBC. NSC added to bait, trap reset in same general location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23-Jun-11,0911,25-Jun-11,0942,10U,475374,5986215,Cod Trap,NSC,5.8,14,3,N,0,,,,,,,,,,,,,NFC. Some bait missing. Bottom cinch on trap not sealing trap. Zap strap put on to fix trap. Fresh bait added. Trap reset in same general area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,23-Jun-11,0927,25-Jun-11,1013,10U,475660,5986225,Cod Trap,NSC,5.4,15,3,N,0,,,,,,,,,,,,,NBC. New bait added to old. Trap set in same general location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23-Jun-11,0944,25-Jun-11,1039,10U,475814,5986289,Cod Trap,NSC,6.6,15,3,N,0,,,,,,,,,,,,,"NSC, trap relocated to mid-lake. Fresh bait added.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
