Angler code,About how often do you fish for burbot at Carp Lake each year?2,At what time of day do you typically set your line?,At what time of day do you typically check your line?,"Before we began this survey, were you aware there is a burbot-tagging program happening at Carp Lake?",Likeliness to report - no reward,Likeliness to report - $100 reward,alternatives to report tagged burbot?,comment
A1,B,19:00,7:00,No,likely,likely,online/phone #,
A2,A,11:00 or 19:00,11:00 or 19:00,No,likely,likely,QR code,
A3,B,10:00,10:00,No,likely,very likely,reporting online - upload info and picture,
A4,A,night,morning,Yes,"""I don't know""","""I don't know""",NA,"angler was reluctant to share opinion on what others would do in terms of tag reporting, ""i can't say what other people would/wouldn't do"" etc"
A5,B,17:00,9:00,Yes,likely,likely,No,
A6,A,16:00,21:00,Yes,neutral,likely,NA,
A7,A,20:30,first thing in the morning,Yes (saw poster),likely,very likely,phone number is good. Add email to have 2 options,
A8,A,evening,NA,No,very likely,very likely,NA,first time burbot fishing
A10,A,evening,morning and evening,No,neutral,likely,"""More money?""",
A11,B,during day/overnight,morning,Yes,unlikely,very likely,online link,
A12,A,NA,NA,Yes,"likely (""50%"")",very likely,compulsory reporting on fishing license,"angler idea was that when one registers for a fishing license, there is a notice about tagging programs and compulsory reporting of tagged fish First time burbot fishing"
A13,A,night,morning,Yes (from other people),likely,very likely,phone is good,
A14,B,6:00,19:00,Yes,likely,very likely,pictures,
A15,A,NA,NA,Yes (saw poster),likely,very likely,online or option phone/online. Simple process with few button-presses as possible,first time burbot fishing
A16,A,NA,NA,No,"likely (""2/3 of people"")",very likely,incentive: pin/badge with name of enhancement program/study/etc. Promotes the research and conservation when worn and people like collecting stuff. $50 is sufficient reward,
A17,A,evening,morning/evening,Yes,likely,very likely,NA,
A18,B,all day,AM,No,likely,very likely,NA,
A19,A,22:00,NA,Yes,likely,very likely,NA,
A20,A,21:00-22:00,9:00,No,neutral,very unlikely*,"""app?""","* think this might have been a mistake and they meant to fill ""very likely"""
A21,A,overnight (around 17:30),morning (around 10:30),No,neutral,likely,derby style - certain tags get better prize,first time burbot fishing
A22,A,15:00,morning,No,neutral,likely,"people would be more likely to participate in studies if regulations were more clear, less frustration with government","angler expressed frustration with the fishing regs being ""confusing""/vague/changing often"
A23,A,20:00,8:00,Yes,very unlikely,very likely,No,"filled out ""very unlikely"" to reward-tag question BUT talked at length about how people want to win prizes so pretty sure that was a mistake"
A24,A,evening,8:00,No,neutral,very likely,a drop-box at the fish cleaning station,
A25,C,evening,morning,Yes,likely,very unlikely ,NA,
A26,B,18:00,10:00,No,neutral,very likely,rewards,"not sure what they meant by ""rewards"" - maybe a variety of rewards or all tags have a reward…"
A27,A,18:00,10:00,No,unlikely,very likely,No,
A28,B,end of evening,first thing in the morning,Yes,neutral,very likely,calling or online (option),
A29,B,after checking the last line (~ 13:30),night/ again next day,Yes,likely,very likely,text or email,
A32,A,night,morning,Yes,very unlikely,very likely,No - money reward is good,"angler said that for reporting of tags, people need to understand that they don't have to release the tagged fish. Instructions/advertisement could be more clear"
A30,A,17:00,08:00-10:00,Yes,neutral,very likely,NA,
A31,A,NA,NA,Yes,likely,very likely,tagging is good for a remote park where a constant creel survey can't be done,NA for typical setline times because this angler usually jigs
A33,A,18:00,early morning,No,likely,very likely,No,
A34,B,night or after checking,morning,Yes,likely,very likely,"Bigger sign with ""Please report"" etc",
A35,A,19:30,8:00,Yes,likely,very likely,drop box,"angler noted that the lack of cell service is a challenge for tag-reporting at Car pLake via phone line. Said that for them personally, they'd be equally likely to report a non-reward vs reward tag"
