Angler code,How long have you been fishing for burbot at Carp Lake?,Have you heard concerns about fish or fishing at Carp Lake?,Have you noticed any changes in burbot during the time you’ve been fishing at Carp Lake?,comment
A1,more than 20 years,last year - poor fishing,No,
A2,10-20 years,No,No,
A3,one year or less,"""too many northern pike eating trout eggs""",None,
A4,NA,NA,NA,declined to fill this section
A5,2-5 years,No,No,
A6,2-5 years,No,No,
A7,10-20 years,No - 'always come here because we know we'll have a catch',"caught ""grey"" burbot, small ~9y ago",asked why some burbot might be more of a grey colour
A8,one year or less,"""our second fishing trip. Lots of fish""",NA,
A10,2-5 years,No,"""Not really""",
A11,more than 20 years (* 48 years!),"""poaching lines"" (people pulling up others' lines); someone setting too many lines in winter out by Bert's Cabin. Stolen gear and leaving burbot to die on the ice. Not following regs, for example tying lines to shore","No ""pretty consistent"", ""range of sizes""","angler was very adamant about the occurrence of ""poaching"" and non-adherence to burbot-fishing regulations"
A12,one year or less,No,NA,first time burbot fishing but planning to do more now that they have the gear setup
A13,2-5 years,No,No,
A14,one year or less,people poaching lines,No,
A15,one year or less,No,NA,
A16,NA,"size and quantity limits needed - 2 burbot/person/day; only 1 burbot if over a certain size. Needs to be more ""reasonable and sustainable"" approach to burbot - precautionary, and continuous monitoring needed","No - more focused on rainbow trout in recent years. ""Rainbows are smaller now""",angler very enthusiastic about the need for research on burbot sustainable harvest levels
A17,2-5 years,No,No,
A18,10-20 years,No,No,
A19,2-5 years,"""just storms and waves""",No,
A20,one year or less,NA,NA,
A21,one year or less,No,NA,
A22,one year or less,No,No,
A23,2-5 years,"""No, only that there's lots of shallow spots!""",No,
A24,more than 20 years,some of the trout have worms,No,
A25,more than 20 years,No real concerns,"""No always seem to catch them""",
A26,2-5 years,No,No,
A27,2-5 years,Never,smaller,
A28,more than 20 years,"""Never, always look healthy taste great, great fishing""",No,
A29,one year or less,No - always decent,No never really fished burbot before,
A32,10-20 years,No,No - always slower in summer as it gets warm,
A30,2-5 years,No,haven't fished here long enough to tell,
A31,one year or less,"No, but worry about the burbot fishery because it is usually fished for food not sport, so burbot typically killed not released",No,
A33,one year or less,No,NA,
A34,10-20 years,heard that locals overharvested over winter - carcasses left on ice,not really - hit or miss,
A35,2-5 years,No,"Bigger last year, but otherwise not really",
