Angler code,Which age range do you belong to?,About how long does it take you to drive to Carp Lake from place of residence?,Are you a member of any of the following Indigenous communities?,What gender do you identify as? (one respondent per party),Highest level of education completed,What is your estimated annual household income?,comment
A1,C,B,E,B,C,F,
A2,B,C,C,A,D,G,group was coming from Fort St. John. Said 6 hours drive away.
A3,C,C,E,A,D,F,
A4,C,C,E,A,C,E,
A5,D,B,E,B,D,D,
A6,B,C,NA,B,D,F,did not answer question 3
A7,C,B,E,B,D,E,
A8,B,B,E,B,A,E,
A10,C,B,E,B,B,H,
A11,D,B,E,B,E,H,
A12,B,B,E,B,D,H,
A13,D,C,E,B,C,H,
A14,B,B,E,A,C,C,
A15,C,B,E,A,C,H,
A16,C,B,E,B,D,F,
A17,B,C,E,B,D,D,
A18,C,B,E,B,C,F,
A19,A,B,E,B,B,H,
A20,A,B,A,B,B,E,
A21,B,B,E,B,D,G,
A22,B,B,F,B,C,H,
A23,A,B,E,A,B,F,
A24,B,C,E,B,B,G,
A25,B,A,E,B,C,F,
A26,B,B,E,A,C,H,
A27,C,B,E,B,C,D,
A28,B,B,E,B,D,E,
A29,B,C,E,A,C,F,answered both B anc C to Question 5
A30,B,B,E,B,G,F,
A31,A,B,E,B,C,D,
A32,B,B,E,B,D,G,
A33,B,B,E,B,D,G,
A34,B,B,C,A,D,F,
A35,B,C,E,A,D,H,"respondant's answers; but group of 6 people. 3 female, 3 male, said they were ""middle class"" with 1 retiree, 2x 35-49y/o, 4x 50-64 y/o"
