Survey number,Date,Time,day_type,Angler code,No. in party,Fishing today Y/N,Start time,End time,number of sets,Total hours,Burbot fishing Y/N,burbot caught,cpue,burbot kept,burbot released,tagged burbot caught,Sample collected Y/N,Gear,Bait,Bait 1,Bait 2,approx catch location,code- catch location,About how often do you fish for burbot at Carp Lake each year?2,At what time of day do you typically set your line?,At what time of day do you typically check your line?,"Before we began this survey, were you aware there is a burbot-tagging program happening at Carp Lake?",Likeliness to report - no reward,Likeliness to report - $100 reward,alternatives to report tagged burbot?,code- alternative tag-return methods,How long have you been fishing for burbot at Carp Lake?,Have you heard concerns about fish or fishing at Carp Lake?,code- concerns,Have you noticed any changes in burbot during the time you’ve been fishing at Carp Lake?,code- changes,Which age range do you belong to?,About how long does it take you to drive to Carp Lake from place of residence?,Are you a member of any of the following Indigenous communities?,What gender do you identify as? (one respondent per party),Highest level of education completed,What is your estimated annual household income?
1,6/23/23,11:37,weekday,A1,2,Y,6:00,12:00,2.00,24,Y,2,0.083333333,2,0,0,Y,set-line,"""fish head""",fish head,NA,"""mid-lake""",mid-lake,B,19:00,7:00,No,likely,likely,"""online/phone #""",online option,E,"""last year - poor fishing""",low or decreasing catch rates,"""No""",none,C,B,E,B,C,F
3,6/24/23,16:00,weekend,A1,2,Y,9:00,15:00,1.00,12,Y,2,0.166666667,2,0,0,Y,set-line,"""fish head""",fish head,NA,"""mid-lake""",mid-lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7/2/23,12:40,weekend,A10,2,Y,10:00:00 AM,10:00,1.00,48,Y,1,0.020833333,1,0,0,Y,set-line,"""peamouth chub""",peamouth chub,NA,"""1st island""",Kettle Bay,A,evening,morning and evening,No,neutral,likely,"""More money?""",different incentives,B,"""No""",none,"""Not really""",none,C,B,E,B,B,H
11,7/2/23,13:40,weekend,A11,1,N,NA,NA,NA,NA,N,0,#VALUE!,0,0,0,N,set-line,"""trout head""",trout head,NA,NA - not burbot fishing this trip,NA,B,during day/overnight,morning,Yes,unlikely,very likely,"""online link""",online option,E,"""poaching lines"" (people pulling up others' lines); someone setting too many lines in winter out by Bert's Cabin. Stolen gear and leaving burbot to die on the ice. Not following regs, for example tying lines to shore",overharvest or noncompliance with regulations,"No ""pretty consistent"", ""range of sizes""",none,D,B,E,B,E,H
12,7/2/23,15:45,weekend,A12,2,Y,13:00,11:30,1.00,42,Y,0,0,0,0,0,N,set-line,"""trout head""",trout head,NA,"""little island past the burnt island""",Kettle Bay,A,NA,NA,Yes,likely,very likely,"""compulsory reporting on fishing licenses""",compulsory reporting,A,"""No""",none,NA,NA,B,B,E,B,D,H
13,7/2/23,16:00,weekend,A13,2,Y,20:00,morning,1.00,26,Y,1,0.038461538,1,0,0,N,set-line,"""rainbow trout parts""",rainbow trout parts,NA,south-east corner (Z4),southeast corner,A,night,morning,Yes,likely,very likely,"""phone number""",none,B,"""No""",none,"""No""",none,D,C,E,B,C,H
14,7/3/23,10:15,weekend,A14,2,Y,7:00,8:00,3.00,98,Y,0,0,0,0,0,N,set-line,"""chicken, fish head""",chicken,fish head,"""none :( """,NA,B,6:00,19:00,Yes,likely,very likely,"""pictures""",online option,A,"""people poaching lines""",overharvest or noncompliance with regulations,"""No""",none,B,B,E,A,C,C
15,7/4/23,12:00,weekday,A15,2,Y,19:30,9:30,1.00,28,Y,1,0.035714286,1,0,0,Y,set-line,"""rainbow trout head""",rainbow trout head,NA,"""bay just past the little shack/bay""",west bay,A,NA,NA,Yes,likely,very likely,online or option phone/online. Simple process with few button-presses as possible,online option,A,"""No""",none,NA,NA,C,B,E,A,C,H
16,7/5/23,9:50,weekday,A16,not recorded,Y,15:00,11:00,5.00,40,Y,2,0.05,2,0,0,N,set-line,"""rainbow trout head""",rainbow trout head,NA,"""off point near Bert's Cabin; mid-channel by third Island""",Kettle Bay,A,NA,NA,No,likely,very likely,incentive: pin/badge with name of enhancement program/study/etc. Promotes the research and conservation when worn and people like collecting stuff. $50 is sufficient reward,different incentives,NA,"size and quantity limits needed - 2 burbot/person/day; only 1 burbot if over a certain size. Needs to be more ""reasonable and sustainable"" approach to burbot - precautionary, and continuous monitoring needed",overharvest or noncompliance with regulations,"No - more focused on rainbow trout in recent years. ""Rainbows are smaller now""",fish size,C,B,E,B,D,F
17,7/5/23,10:20,weekday,A17,6,Y,18:00,9:45,3.00,189,Y,1,0.005291005,1,0,0,Y,set-line,"""trout head""",trout head,NA,"""east side of White Spruce Island""",White Spruce,A,evening,morning/evening,Yes,likely,very likely,NA,NA,B,"""No""",none,"""No""",none,B,C,E,B,D,D
18,7/5/23,13:45,weekday,A18,2,Y,10:00,12:00,1.00,26,Y,0,0,0,0,0,N,set-line,"""fish head""",fish head,NA,"""by the islands""",islands (not specified),B,all day,AM,No,likely,very likely,NA,NA,D,"""No""",none,"""No""","""No""",C,B,E,B,C,F
19,7/6/23,,weekday,A18,2,Y,19:00,10:45,1.00,15.75,Y,0,0,0,0,0,N,set-line,"""fish head""",fish head,NA,"""by the islands""",islands (not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,7/22/23,10:15,weekend,A19,3,Y,9:00,9:30,JIG,0.5,Y,1,2,1,0,0,N,jigging,"""glow jig and tube""",,NA,"""Balsam Island""",Balsam,,,,,,,,,,,,,,,,,,,
22,7/23/23,11:00,weekend,A19,3,Y,22:00,9:00,1.00,33,Y,1,0.03030303,1,0,0,Y,set-line,"""pike minnow""",NA,NA,"""Balsam Isl""",Balsam,A,22:00,NA,Yes,likely,very likely,NA,NA,B,"""just storms and waves""",weather,"""No""",none,A,B,E,B,B,H
2,6/24/23,15:10,weekend,A2,10,Y,12:00,20:00,1.00,48,Y,2,0.041666667,2,0,0,Y,set-line,"""trout""",trout,NA,"""White Spruce Island""",White Spruce,A,11:00 or 19:00,11:00 or 19:00,No,likely,likely,"""QR code""",online option,D,"""No""",none,"""No""",none,B,C,C,A,D,G
23,7/23/23,10:30,weekend,A20,not recorded,Y,21:00-22:00,09:00-09:30,1.00,12.5,Y,1,0.08,1,0,0,N,set-line,"""pike minnow""",pike minnow,NA,"""Balsam Island""",Balsam,A,21:00-22:00,9:00,No,neutral,very unlikely,"""app?""",mobile app,A,NA,NA,"""N/A""",none,A,B,A,B,B,E
24,7/23/23,13:30,weekend,A21,2,Y,17:30,10:45,1.00,34.5,Y,0,0,0,0,0,N,set-line,"""rainbow trout head and pike minnow body""",rainbow trout head,pike minnow body,NA - did not catch any burbot,NA,A,overnight (around 17:30),morning (around 10:30),No,neutral,likely,"""derby style - certain tags get better prize""",different incentives,A,"""No""",none,"""N/A""",none,B,B,E,B,D,G
25,7/23/23,16:00,weekend,A22,2+kids,Y,15:00,10:00,1.00,38,Y,2,0.052631579,2,0,0,Y,set-line,"""shrimp""",shrimp,NA,"""bay near Bert's Cabin (both days)""",Kettle Bay,A,15:00,morning,No,neutral,likely,"people would be more likely to participate in studies if regulations were more clear, less frustration with government",clearer regulations,A,"""No""",none,"""No""",none,B,B,F,B,C,H
26,7/31/23,15:00,weekday,A23,4,Y,20:00,8:00,1.00,48,Y,2,0.041666667,2,0,1,N,set-line,"""trout heads""",trout heads,NA,"""right off an island on steep dropoff""",islands (not specified),A,20:00,8:00,Yes,very unlikely,very likely,"""No""",none,B,"""No, only that there's lots of shallow spots!""",none,"""No""",none,A,B,E,A,B,F
27,8/1/23,11:00,weekday,A24,2,Y,11:00,8:00,1.00,42,Y,1,0.023809524,1,0,0,N,set-line,"""fish parts""",fish parts,NA,"""small island in the middle of the main lake""",islands (not specified),A,evening,8:00,No,neutral,very likely,"""a drop-box at the fish cleaning station""",tag drop-box,E,"""some of the trout have worms""",fish health,"""No""",none,B,C,E,B,B,G
28,8/1/23,11:15,weekday,A25,3,Y,18:00,8:30,2.00,43.5,Y,2,0.045977011,2,0,1,Y,set-line,"""rainbow trout heads""",rainbow trout heads,NA,"""around Black Spruce Island""",Black Spruce,C,evening,morning,Yes,likely,very unlikely ,NA,NA,E,"""no real concerns""",none,"""No always seem to catch them""",none,B,A,E,B,C,F
29,8/2/23,11:20,weekday,A26,4,Y,"""last night""",10:00,1.00,56,Y,2,0.035714286,2,0,1,Y,set-line,"""whitefish""",whitefish,NA,"""White Spruce south""",White Spruce,B,18:00,10:00,No,neutral,very likely,"""rewards""",different incentives,B,"""No""",none,"""No""",none,B,B,E,A,C,H
30,8/3/23,15:30,weekday,A27,2,Y,10:00,14:45,2.00,19,Y,1,0.052631579,1,0,1,Y,set-line,"""trout head""",trout head,NA,"""behind island left side half way down lake""",White Spruce,A,18:00,10:00,No,unlikely,very likely,"""No""",none,B,"""NEVER""",none,"""SMALLER""",fish size,C,B,E,B,C,D
31,8/4/23,10:45,weekday,A28,5,Y,20:30,10:00,1.00,67.5,Y,2,0.02962963,2,0,0,Y,set-line,"""fish head""",fish head,NA,"""near an island""",islands (not specified),B,end of evening,first thing in the morning,Yes,neutral,very likely,"""calling or online"" (option)",online option,E,"""Never, always look healthy taste great, great fishing""",none,"""No""",none,B,B,E,B,D,E
32,8/5/23,14:06,weekend,A29,2,Y,19:30,10:30,1.00,30,Y,1,0.033333333,1,0,0,Y,set-line,"""worms""",worms,NA,"""just before White Spruce""",White Spruce,B,after checking the last line (~ 13:30),night/ again next day,Yes,likely,very likely,"""text or email""",email option,A,"""No - always decent""",none,"""No never really fished burbot before""",none,B,C,E,A,C,F
