PART B: Burbot fishing at Carp Lake,,,,,,,,,,,
Question 9,,Question 11a,,Question 11b,,,,,,,
A,once a year or less,A,very unlikely,A,very unlikely,,,,,,
B,between 2-5 times per year,B,unlikely,B,unlikely,,,,,,
C,more than 5 times per year,C,neutral,C,neutral,,,,,,
D,I come here regularly (e.g. once a month or more),D,likely,D,likely,,,,,,
E,Other:_,E,very likely,E,very likely,,,,,,
PART C: Observations of the burbot fishery,,,,,,,,,,,
Question 1,,,,,,,,,,,
A,1 year or less,,,,,,,,,,
B,2-5 years,,,,,,,,,,
C,5-10 years,,,,,,,,,,
D,10-20 years,,,,,,,,,,
E,more than 20 years,,,,,,,,,,
PART D: Demographic information,,,,,,,,,,,
Question 1.,,Question 2,,Question 3,,Question 4,,Question 5,,Question 6,
A,18-34 years old,A,less than 1 hour,A,First Nation,A,Female,A,some high school,A,"under $15,000"
B,35-49 years old,B,1-3 hours,B,Inuit,B,Male,B,high school diploma,B,"between $15,000 and $29,999"
C,50-64 years old,C,more than 3 hours,C,Métis,C,Non-binary,C,some university or college or trade school,C,"between $30,000 and $49,000"
D,65-79 years old,D,I prefer not to say,D,Other,D,Transgender,D,bachelor's degree or college diploma or trades certificate,D,"between $50,000 and $74,999"
E,80 years or older,,,E,None,E,Two-Spirit,E,Master's degree,E,"between $75,000 and $99,999"
F,I prefer not to say,,,F,I prefer not to say,F,I prefer not to say,F,some graduate school,F,"between $100,000 and $150,000"
,,,,,,G,Other:_,G,Ph.D/doctoral degree or equivalent,G,"over $150,000"
,,,,,,,,H,I prefer not to say,H,I prefer not to say
