Location Description,Latitude,Longitude
east of Pine Island - closer to shore of lake than shore of island,54.79100535,-123.3259324
behind island left side halfway down lake,54.76971324,-123.3510242
200m east of Balsam Island,54.76380457,-123.3937986
between Bert's Cabin and burnt island,54.81239792,-123.3409531
Birch Island - north side,54.76025811,-123.3608636
Black Spruce Island,54.80953768,-123.3440304
"east of Black Spruce Island, 45 ft depth",54.80666245,-123.3393622
"midway between Birch and Spirea Island, 30 ft depth",54.75257451,-123.3564807
near Bert's Cabin,54.81537349,-123.345806
near Black Spruce Island,54.80790232,-123.3460463
near Spirea Island,54.74804483,-123.3542603
near Willow Island,54.71785239,-123.3719589
south of Birch Island,54.7501558,-123.3632013
west side of Aspen Island,54.76740501,-123.3651482
White Spruce Island - south end,54.77153205,-123.3550873
White Spruce Island,54.77459522,-123.3502052
most-Eastern bay near small island,54.7711525,-123.2623515
point off Sekani Bay - drop-off,54.772824,-123.414165
east of Fir Island,54.747598,-123.296818
back side of Black Spruce Island,54.803473,-123.344867
Black Spruce Island,54.807458,-123.348803
Balsam Island,54.762482,-123.396325
Balsam Island,54.761685,-123.398048
near cabin by Balsam Island,54.76217,-123.399323
by Spirea Island,54.750658,-123.352537
by Esker Bay (off trapper cabin),54.713571,-123.364348
"near Bert's Cabin, in the bay to the south",54.814174,-123.344949
near Spirea Island,54.750349,-123.356414
near Balsam Island,54.763251,-123.398112
near Kettle Bay,54.81884,-123.348312
near Bert's Cabin,54.816464,-123.346567
