Lake name,Trap waypoint,Start date,Start time,End date,End time,Lat,Lon,Method,Depth (m),Temperature (degrees C),Species,Count fish,Burbot Floy number,Burbot length (cm),Burbot weight (g),Bait type,Bait weight (g),Comments
Fraser Lake,TZ1-201,5/11/22,16:44,5/12/22,11:22,54.093738,124.642272,CT,9,,NA,0,,,,Nulki RB,130,
Fraser Lake,TZ1-21,5/11/22,17:18,5/12/22,12:05,54.078429,124.614660,CT,1.1,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-218,5/11/22,17:27,5/12/22,12:08,54.077121,124.617218,CT,4.1,,BB,1,7210,57.5,1100,Nulki RB,150,
Fraser Lake,TZ1-229,5/11/22,17:02,5/12/22,11:40,54.086283,124.624330,CT,3,,BB,1,7033,62,1150,Nulki RB,150,
Fraser Lake,TZ1-246,5/11/22,17:09,5/12/22,11:59,54.083077,124.627914,CT,10.1,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-29,5/11/22,16:58,5/12/22,11:35,54.088846,124.627234,CT,4.3,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-293,5/11/22,16:53,5/12/22,11:29,54.088258,124.629316,CT,6.1,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-345,5/11/22,17:38,5/12/22,12:22,54.065520,124.639921,CT,9.9,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-26,5/12/22,15:23,5/14/22,13:29,54.072660,124.669975,CT,9.1,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-299,5/12/22,15:11,5/14/22,13:25,54.074223,124.669316,CT,4.4,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-308,5/12/22,15:30,5/14/22,13:34,54.071922,124.663232,CT,8.8,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-318,5/12/22,16:00,5/14/22,14:01,54.065951,124.620192,CT,9.6,,BB,1,7001,62.5,1150,Nulki RB,150,
Fraser Lake,TZ1-327,5/12/22,15:53,5/14/22,13:14,54.059704,124.631342,CT,10.2,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-331,5/12/22,15:34,5/14/22,13:52,54.071461,124.666744,CT,5.1,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-51,5/12/22,16:09,5/14/22,14:22,54.074009,124.620935,CT,2.8,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ1-798,5/12/22,16:16,5/14/22,14:26,54.071969,124.622154,CT,3.9,,NA,0,,,,Nulki RB,150,
Fraser Lake,TZ2-1098,5/14/22,18:29,5/15/22,8:24,54.087916,124.732061,CT,9.6,,NA,0,NA,,,Nulki RB,200,
Fraser Lake,TZ2-138,5/14/22,18:40,5/15/22,8:35,54.089742,124.732237,CT,4.7,,NA,0,NA,,,Nulki RB,200,
Fraser Lake,TZ2-202,5/14/22,18:58,5/15/22,8:56,54.100616,124.723023,CT,9.6,,NA,0,NA,,,Nulki RB,200,
Fraser Lake,TZ2-295,5/14/22,18:55,5/15/22,8:52,54.099350,124.728275,CT,8.3,,NA,0,NA,,,Nulki RB,100,
Fraser Lake,TZ2-56,5/14/22,18:36,5/15/22,8:29,54.087528,124.734419,CT,7.4,,NA,0,NA,,,Nulki RB,200,
Fraser Lake,TZ2-713,5/14/22,18:46,5/15/22,8:40,54.093942,124.731138,CT,2.3,,NA,0,NA,,,Nulki RB,NA,
Fraser Lake,TZ2-864,5/14/22,18:51,5/15/22,8:44,54.095569,124.729354,CT,3.9,,NA,0,NA,,,Nulki RB,NA,
Fraser Lake,TZ2-1396,5/15/22,10:30,5/16/22,9:12,54.074271,124.721887,CT,7.8,,NA,0,NA,,,Nulki RB,120,moved 50m from waypoint
