Lake name,Trap waypoint,Start date,Start time,End date,End time,Lat,Lon,Method,Depth (m),Temperature (degrees C),Species,Count fish,Burbot Floy number,Burbot length (cm),Burbot weight (g),Comments
Carp Lake,CARP4-Z2-150,5/23/23,15:45:00,5/24/23,8:50:00,54.763503,-123.362186,CT,7.5,NA,BB,1,7314,,,
Carp Lake,CARP4-Z2-70,5/23/23,15:55:00,5/24/23,9:02:00,54.761156,-123.372086,CT,5.2,NA,NA,0,NA,,,
Carp Lake,CARP4-Z2-207,5/23/23,16:02:00,5/24/23,9:10:00,54.761698,-123.368345,CT,5.0,NA,BB,1,7603,,,
Carp Lake,CARP4-Z2-210,5/23/23,16:08:00,5/24/23,9:20:00,54.762391,-123.37572,CT,6.8,NA,BB,1,7315,,,
Carp Lake,CARP4-Z2-152,5/23/23,16:13:00,5/24/23,9:28:00,54.759745,-123.38073,CT,5.7,NA,CCG,2,NA,,,
Carp Lake,CARP4-Z2-62,5/23/23,16:22:00,5/24/23,9:39:00,54.752271,-123.40768,CT,8.7,NA,NA,0,NA,,,
Carp Lake,CARP4-Z2-178,5/23/23,16:27:00,5/24/23,9:50:00,54.759535,-123.399011,CT,7.4,NA,BB,1,7606,,,
Carp Lake,CARP4-Z2-133,5/23/23,16:32:00,5/24/23,9:55:00,54.761463,-123.399106,CT,10.1,NA,BB,1,7316,,,
Carp Lake,CARP4-Z2-59,5/23/23,16:44:00,5/24/23,10:34:00,54.770599,-123.410611,CT,9.8,NA,BB,1,7609,,,
Carp Lake,CARP4-Z2-17,5/23/23,16:50:00,5/24/23,10:51:00,54.772303,-123.409234,CT,10.0,NA,NA,0,NA,,,
Carp Lake,CARP4-Z2-84,5/23/23,16:55:00,5/24/23,10:54:00,54.774559,-123.406677,CT,9.2,NA,NA,0,NA,,,
Carp Lake,CARP4-Z2-56,5/23/23,17:02:00,5/24/23,11:04:00,54.774807,-123.419728,CT,10.4,NA,NA,0,NA,,,
Carp Lake,CARP4-Z2-74,5/23/23,17:09:00,5/24/23,11:10:00,54.777145,-123.42486,CT,10.2,NA,NA,0,NA,,,
