Species,Lake,Date tagged,Release Time,Trap ID,Trap depth (m),Trap temperature,Acoustic tag number,Floy tag number,Floy reward amount,PIT tag number,Total length (cm),Weight (g),Surgery duration (min),Electric glove setting (mA),Release location,Notes
Burbot,Carp Lake,6/1/22,,CARP-12,8.9,,NA,7201,0,NA,89,4050,NA,NA,CARP-12,
Burbot,Carp Lake,6/1/22,,CARP-12,8.9,,NA,7040,100,NA,71,2600,NA,NA,CARP-12,
Burbot,Carp Lake,6/2/22,,CARP-132,4.1,,NA,7465,0,NA,70.5,2850,NA,NA,CARP-132,
Burbot,Carp Lake,6/1/22,,CARP-141,9.8,,NA,7200,0,NA,61,1950,NA,NA,CARP-141,
Burbot,Carp Lake,6/1/22,,CARP-141,9.8,,NA,7038,100,NA,77,3050,NA,NA,CARP-141,
Burbot,Carp Lake,6/1/22,,CARP-165,3.1,,NA,NA,NA,NA,7.5,NA,NA,NA,CARP-165,Juvenile (or possible sculpin)
Burbot,Carp Lake,5/31/22,,CARP-192,7.5,,NA,7037,100,NA,85,3850,NA,NA,CARP-192,
Burbot,Carp Lake,6/1/22,,CARP-22,3.1,,NA,7461,0,NA,54,900,NA,NA,CARP-22,
Burbot,Carp Lake,6/2/22,,CARP-249,2.9,,NA,7049,100,NA,53.5,1250,NA,NA,CARP-249,
Burbot,Carp Lake,6/2/22,,CARP-305,9.5,,NA,7464,0,NA,87.5,3350,NA,NA,CARP-305,
Burbot,Carp Lake,6/2/22,,CARP-328,8.2,,NA,7466,0,NA,69,1600,NA,NA,CARP-328,
Burbot,Carp Lake,6/2/22,,CARP-339,9.9,,NA,7050,100,NA,92,5000,NA,NA,CARP-339,bottomed-out 5kg scale
Burbot,Carp Lake,6/1/22,,CARP-344,9.3,,NA,7205,0,NA,68,3450,NA,NA,CARP-344,
Burbot,Carp Lake,6/1/22,,CARP-344,9.3,,NA,7043,100,NA,66,2250,NA,NA,CARP-344,
Burbot,Carp Lake,6/1/22,,CARP-371,9.7,,NA,7045,100,NA,70.5,1950,NA,NA,CARP-371,
Burbot,Carp Lake,6/3/22,,CARP-375,4,,NA,7053,100,NA,63.5,1600,NA,NA,CARP-375,
Burbot,Carp Lake,6/1/22,,CARP-379,7.1,,NA,7044,100,NA,68.5,2350,NA,NA,CARP-379,
Burbot,Carp Lake,6/3/22,,CARP-396,3,,NA,NA,NA,NA,8,NA,NA,NA,CARP-396,Juvenile (or possible sculpin)
Burbot,Carp Lake,6/1/22,,CARP-423,9.2,,NA,7462,0,NA,79,5000,NA,NA,CARP-423,bottomed-out 5kg scale
Burbot,Carp Lake,5/31/22,,CARP-445,7,,NA,7199,0,NA,62,3350,NA,NA,CARP-445,milky left eye lens
Burbot,Carp Lake,6/3/22,,CARP-449,10.3,,NA,7467,0,NA,74,2850,NA,NA,CARP-449,
Burbot,Carp Lake,5/31/22,,CARP-475,8.7,,NA,NA,NA,NA,11,30,NA,NA,CARP-475,too small to tag. weighed in small ziploc
Burbot,Carp Lake,6/1/22,,CARP-506,6.7,,NA,7203,0,NA,76,3450,NA,NA,CARP-506,
Burbot,Carp Lake,6/1/22,,CARP-506,6.7,,NA,7042,100,NA,73.5,2500,NA,NA,CARP-506,
Burbot,Carp Lake,6/1/22,,CARP-564,9.9,,NA,7202,0,NA,60.5,1450,NA,NA,CARP-564,
Burbot,Carp Lake,6/1/22,,CARP-62,5.3,,NA,NA,NA,NA,6.5,NA,NA,NA,CARP-62,
Burbot,Carp Lake,6/2/22,,CARP-647,9.4,,NA,7047,100,NA,60,1650,NA,NA,CARP-647,
Burbot,Carp Lake,6/1/22,,CARP-671,10.2,,NA,7046,100,NA,81.5,3800,NA,NA,CARP-671,
Burbot,Carp Lake,6/1/22,,CARP-671,10.2,,NA,7463,0,NA,57,1100,NA,NA,CARP-671,
Burbot,Carp Lake,6/1/22,,CARP-680,4.7,,NA,7041,100,NA,59,1350,NA,NA,CARP-680,
Burbot,Carp Lake,6/3/22,,CARP-71,9.6,,NA,7469,0,NA,60,1400,NA,NA,CARP-71,
Burbot,Carp Lake,5/31/22,,CARP-784,6.1,,NA,7036,100,NA,74,3450,NA,NA,CARP-784,
Burbot,Carp Lake,6/1/22,,CARP-804,5.3,,NA,NA,NA,NA,5,NA,NA,NA,CARP-804,Juvenile (or possible sculpin)
Burbot,Carp Lake,5/31/22,,CARP-82,7.7,,NA,7197,0,NA,59,1550,NA,NA,CARP-82,
Burbot,Carp Lake,6/3/22,,CARP-832,10.2,,NA,NA,NA,NA,6.5,NA,NA,NA,CARP-832,Juvenile (or possible sculpin)
Burbot,Carp Lake,5/31/22,,CARP-834,10.4,,NA,7034,100,NA,72.5,2850,NA,NA,CARP-834,
Burbot,Carp Lake,5/31/22,,CARP-855,4.8,,NA,7194,0,NA,60.5,1050,NA,NA,CARP-855,Retagged (first tag fell off)
Burbot,Carp Lake,5/31/22,,CARP-855,4.8,,NA,7055,100,NA,70.5,2550,NA,NA,CARP-855,
Burbot,Carp Lake,6/3/22,,CARP-88,5.7,,NA,7052,100,NA,60,1450,NA,NA,CARP-88,
Burbot,Carp Lake,6/1/22,,CARP-883,4.1,,NA,NA,NA,NA,8,30,NA,NA,CARP-883,Juvenile (or possible sculpin)
Burbot,Carp Lake,6/3/22,,CARP-891,6.4,,NA,7051,100,NA,77,3750,NA,NA,CARP-891,
Burbot,Carp Lake,6/3/22,,CARP-891,6.4,,NA,7468,0,NA,62.5,1450,NA,NA,CARP-891,
Burbot,Carp Lake,5/31/22,,CARP-923,6.6,,NA,7195,0,NA,76,3750,NA,NA,CARP-923,
Burbot,Carp Lake,6/1/22,,CARP-95,8.9,,NA,7206,0,NA,60,1550,NA,NA,CARP-95,
Burbot,Carp Lake,5/31/22,,CARP-963,8.1,,NA,7196,0,NA,68,3350,NA,NA,CARP-963,
Burbot,Carp Lake,6/2/22,,CARP-994,4.8,,NA,7048,100,NA,55,1350,NA,NA,CARP-994,
Burbot,Carp Lake,6/23/22,,CARP2-145,10.1,,NA,7571,0,NA,67.5,1700,NA,NA,CARP2-145,
Burbot,Carp Lake,6/23/22,,CARP2-145,10.1,,NA,7385,100,NA,49,1050,NA,NA,CARP2-145,"Full of fish, had trouble swimming. Held in trap (at original location) an additional ~1.5 hours before release"
Burbot,Carp Lake,6/21/22,,CARP2-184,7.9,,NA,7371,100,NA,64,1750,NA,NA,CARP2-184,
Burbot,Carp Lake,6/23/22,,CARP2-201,10.2,,NA,7387,100,NA,64,1350,NA,NA,CARP2-201,
Burbot,Carp Lake,6/23/22,,CARP2-201,10.2,,NA,7576,0,NA,61,1350,NA,NA,CARP2-201,
Burbot,Carp Lake,6/21/22,,CARP2-221,9.5,,NA,7484,0,NA,56,1000,NA,NA,CARP2-221,
Burbot,Carp Lake,6/23/22,,CARP2-247,9.5,,NA,7580,0,NA,81,3350,NA,NA,CARP2-247,
Burbot,Carp Lake,6/23/22,,CARP2-247,9.5,,NA,7391,100,NA,57.5,1400,NA,NA,CARP2-247,
Burbot,Carp Lake,6/21/22,,CARP2-271,7.4,,NA,NA,NA,NA,6,NA,NA,NA,CARP2-271,
Burbot,Carp Lake,6/23/22,,CARP2-273,8.5,,NA,7577,0,NA,51.5,900,NA,NA,CARP2-273,
Burbot,Carp Lake,6/22/22,,CARP2-307,9.9,,NA,7561,0,NA,60.5,1150,NA,NA,CARP2-307,
Burbot,Carp Lake,6/24/22,,CARP2-33,7.3,,NA,7587,0,NA,66,1600,NA,NA,CARP2-33,
Burbot,Carp Lake,6/21/22,,CARP2-351,8,,NA,7485,0,NA,72.5,2850,NA,NA,CARP2-351,
Burbot,Carp Lake,6/21/22,,CARP2-351,8,,NA,7376,100,NA,63.5,1750,NA,NA,CARP2-351,
Burbot,Carp Lake,6/23/22,,CARP2-361,10.2,,NA,7572,0,NA,58.5,1650,NA,NA,CARP2-361,
Burbot,Carp Lake,6/23/22,,CARP2-369,9.8,,NA,NA,NA,NA,6.5,NA,NA,NA,CARP2-369,
Burbot,Carp Lake,6/23/22,,CARP2-370,9.5,,NA,7578,0,NA,59.5,1350,NA,NA,CARP2-370,
Burbot,Carp Lake,6/24/22,,CARP2-384,7.6,,NA,7398,100,NA,56.5,1300,NA,NA,CARP2-384,
Burbot,Carp Lake,6/23/22,,CARP2-389,9.7,,NA,7390,100,NA,58,1250,NA,NA,CARP2-389,
Burbot,Carp Lake,6/21/22,,CARP2-393,6.3,,NA,7483,0,NA,75.5,3200,NA,NA,CARP2-393,
Burbot,Carp Lake,6/21/22,,CARP2-397,8.3,,NA,7482,0,NA,59,1150,NA,NA,CARP2-397,
