Net ID,Zone,Start Month,Start Datetime,End Datetime,Start Time,End Time,Method,Lat,Lon,Habitat,Sample Design,Species Code,Count Fish,BURBOT COUNT,Bait type,Bait weight (g),Depth (m),Temp (deg C),Comments/Notes,Set duration
TZ1-149,1,10,21/10/07 15:10,21/10/08 12:55,15:10,12:55,CT,54.06064,-124.62646,BT,SR,NA,0,0,RB,200,7.5,NA,"just off boat launch, waypoint 326, 250m from original point",21.75
TZ1-1413,1,10,21/10/07 14:50,21/10/08 12:15,14:50,12:15,CT,54.10175,-124.65775,BT,SR,NA,0,0,RB,200,3.9,NA,weedy nearby,21.42
TZ1-1423,1,10,21/10/07 14:45,21/10/08 12:20,14:45,12:20,CT,54.09225,-124.63235,BT,SR,CCG,1,0,RB,200,4.7,NA,NA,21.58
TZ1-1421,1,10,21/10/07 14:40,21/10/08 12:35,14:40,12:35,CT,54.08535,-124.62873,BT,SR,CCG,1,0,RB,200,6.9,NA,NA,21.92
TZ1-163,1,10,21/10/07 14:20,21/10/08 12:40,14:20,12:40,CT,54.08213,-124.62009,BT,SR,NA,0,0,RB,200,3,NA,"set 75m away, Nautley shallows",22.33
TZ1-181,1,10,21/10/07 14:15,21/10/08 12:45,14:15,12:45,CT,54.07466,-124.61677,BT,SR,NA,0,0,RB,200,5,NA,"set 300m out, see waypoint 325, sand",22.50
TZ1-19,1,10,21/10/07 14:05,21/10/08 12:50,14:05,12:50,CT,54.07073,-124.61954,BT,SR,NA,0,0,RB,200,8,NA,"set 175m out, sand, see waypoint 324",22.75
TZ1-197,1,10,21/10/07 14:00,21/10/08 12:52,14:00,12:52,CT,54.0611,-124.62202,BT,SR,NA,0,0,RB,200,6.5,NA,"set 75m away, shallow sand flat edge",22.87
TZ2-165,2,10,21/10/07 12:30,21/10/08 10:45,12:30,10:45,CT,54.10435,-124.67747,BT,SR,NA,0,0,RB,200,9,NA,set 150m into shore; see waypoint 323,22.25
TZ2-158,2,10,21/10/07 12:25,21/10/08 10:50,12:25,10:50,CT,54.10852,-124.68408,BT,SR,NA,0,0,RB,200,3.2,NA,about 75m away from point,22.42
TZ2-220,2,10,21/10/07 12:15,21/10/08 10:30,12:15,10:30,CT,54.10133,-124.72147,BT,SR,CCG,1,0,RB,200,8,NA,NA,22.25
TZ2-202,2,10,21/10/07 12:10,21/10/08 10:33,12:10,10:33,CT,54.10062,-124.72302,BT,SR,NA,0,0,RB,200,9.5,NA,set 50m inshore from point,22.38
TZ2-199,2,10,21/10/07 11:55,21/10/08 11:13,11:55,11:13,CT,54.07565,-124.67715,BT,SR,River otter,1,0,RB,200,2.8,NA,NA,23.30
TZ2-177,2,10,21/10/07 11:50,21/10/08 11:10,11:50,11:10,CT,54.07871,-124.69035,BT,SR,NA,0,0,RB,200,3,NA,NA,23.33
TZ2-213,2,10,21/10/07 11:45,21/10/08 11:05,11:45,11:05,CT,54.07335,-124.7034,BT,SR,NA,0,0,,,1.8,NA,"weedy, 100m from waypoint",23.33
TZ2-213,2,10,21/10/07 11:45,21/10/08 11:05,11:45,11:05,CT,54.07335,-124.7034,BT,SR,NA,0,0,RB,200,1.8,NA,set 100m out from waypoint; weedy,23.33
TZ2-1402,2,10,21/10/07 11:30,21/10/08 11:00,11:30,11:00,CT,54.07529,-124.70721,BT,SR,NA,0,0,,,7.4,NA,NA,23.50
TZ2-1402,2,10,21/10/07 11:30,21/10/08 11:00,11:30,11:00,CT,54.07529,-124.70721,BT,SR,NA,0,0,RB,200,7.4,NA,NA,23.50
TZ1-141,1,10,21/10/06 15:40,21/10/07 13:55,15:40,13:55,CT,54.06083,-124.62354,BT,SR,CCG,1,0,RB,200,10,NA,by beach/boat ramp,22.25
TZ1-148,1,10,21/10/06 15:35,21/10/07 13:50,15:35,13:50,CT,54.05877,-124.6319,BT,SR,NA,0,0,RB,200,7,NA,NA,22.25
TZ1-1415,1,10,21/10/06 15:30,21/10/07 13:45,15:30,13:45,CT,54.05831,-124.63585,BT,SR,NA,0,0,RB,200,5.5,NA,NA,22.25
TZ1-1389,1,10,21/10/06 15:20,21/10/07 13:40,15:20,13:40,CT,54.06035,-124.63429,BT,SR,NA,0,0,RB,200,9.2,NA,moved 100m inshore,22.33
TZ1-1369,1,10,21/10/06 15:15,21/10/07 13:25,15:15,13:25,CT,54.0651,-124.64291,BT,SR,BB,1,1,RB,200,6,NA,HR tagged,22.17
TZ1-145,1,10,21/10/06 15:05,21/10/07 13:20,15:05,13:20,CT,54.0694,-124.65926,BT,SR,NA,0,0,RB,200,4,NA,NA,22.25
TZ1-191,1,10,21/10/06 14:55,21/10/07 13:15,14:55,13:15,CT,54.07036,-124.66063,BT,SR,NA,0,0,RB,200,7.5,NA,NA,22.33
TZ1-1372,1,10,21/10/06 14:45,21/10/07 13:10,14:45,13:10,CT,54.07233,-124.66454,BT,SR,NA,0,0,RB,200,8.9,NA,moved 100m inshore,22.42
TZ2-1402,2,10,21/10/06 12:00,21/10/07 11:25,12:00,11:25,CT,54.07529,-124.70721,BT,SR,NA,0,0,RB,200,8.7,NA,NA,23.42
TZ2-226,2,10,21/10/06 11:56,21/10/07 11:20,11:56,11:20,CT,54.07446,-124.71385,BT,SR,NA,0,0,RB,200,8.5,NA,NA,23.40
TZ2-203,2,10,21/10/06 11:55,21/10/07 11:15,11:55,11:15,CT,54.0742,-124.70714,BT,SR,NA,0,0,RB,200,3.5,NA,NA,23.33
TZ2-161,2,10,21/10/06 11:45,21/10/07 11:05,11:45,11:05,CT,54.07401,-124.72372,BT,SR,NA,0,0,RB,200,6.1,NA,NA,23.33
TZ2-1396,2,10,21/10/06 11:40,21/10/07 11:03,11:40,11:03,CT,54.07427,-124.72189,BT,SR,NA,0,0,RB,200,6.7,NA,NA,23.38
TZ2-182,2,10,21/10/06 11:33,21/10/07 10:55,11:33,10:55,CT,54.07262,-124.73275,BT,SR,NA,0,0,RB,200,3.4,NA,NA,23.37
TZ2-1403,2,10,21/10/06 11:30,21/10/07 10:45,11:30,10:45,CT,54.07145,-124.73849,BT,SR,NA,0,0,RB,200,3.2,NA,NA,23.25
TZ2-14,2,10,21/10/06 11:25,21/10/07 10:50,11:25,10:50,CT,54.07097,-124.73719,BT,SR,NA,0,0,RB,200,2.8,NA,60m from waypoint,23.42
TZ4-1358,4,10,21/10/05 15:50,21/10/06 13:00,15:50,13:00,CT,54.05952,-124.87843,BT,SR,CCG,1,0,RB,200,9.5,NA,NA,21.17
TZ4-169,4,10,21/10/05 15:40,21/10/06 13:10,15:40,13:10,CT,54.05864,-124.86404,BT,SR,NA,0,0,RB,200,5.2,NA,220m away from shore,21.50
TZ4-1397,4,10,21/10/05 15:35,21/10/06 13:15,15:35,13:15,CT,54.06367,-124.85033,BT,SR,BB,1,1,RB,200,8.5,NA,NA,21.67
TZ4-1414,4,10,21/10/05 15:30,21/10/06 12:35,15:30,12:35,CT,54.05794,-124.81155,BT,SR,NSC,1,0,RB,200,6,NA,NA,21.08
TZ4-1331,4,10,21/10/05 15:25,21/10/06 12:30,15:25,12:30,CT,54.0567,-124.80747,BT,SR,NA,0,0,RB,200,5.4,NA,NA,21.08
TZ4-1334,4,10,21/10/05 15:15,21/10/06 12:25,15:15,12:25,CT,54.05759,-124.79578,BT,SR,NA,0,0,RB,200,9,NA,NA,21.17
TZ4-1386,4,10,21/10/05 14:10,21/10/06 12:55,14:10,12:55,CT,54.06591,-124.87972,BT,SR,NA,0,0,RB,200,8,NA,170m from point,22.75
