Lake,Date,structure,species,fish,age,con_ind,bb_id,length,weight
Carp Lake,7/23/23,OT,BURB,39,6,G,BB39,50,NA
Carp Lake,5/26/23,OT,BURB,1,9,G,BB1,58.5,1300
Carp Lake,6/2/23,OT,BURB,6,9,G,BB6,59,1550
Carp Lake,6/6/23,OT,BURB,8,9,G,BB8,58,NA
Carp Lake,6/25/23,OT,BURB,18,9,G,BB18,64.5,1700
Carp Lake,7/1/23,OT,BURB,29,9,G,BB29,54,1050
Carp Lake,8/3/23,OT,BURB,43,9,G,BB43,60.5,1300
Carp Lake,8/4/23,OT,BURB,47,9,G,BB47,61,1700
Carp Lake,9/2/23,OT,BURB,22,9,G,BB55,58.5,700
Carp Lake,6/6/23,OT,BURB,7,10,G,BB7,66,NA
Carp Lake,7/5/23,OT,BURB,36,10,G,BB36,55,1250
Carp Lake,8/5/23,OT,BURB,50,10,G,BB50,55,1350
Carp Lake,6/24/23,OT,BURB,15,12,G,BB15,63,1750
Carp Lake,8/6/23,OT,BURB,52,12,G,BB52,66,NA
Carp Lake,7/2/23,OT,BURB,32,13,G,BB32,61.5,1450
Carp Lake,7/4/23,OT,BURB,34,13,G,BB34,61.5,1500
Carp Lake,6/6/23,OT,BURB,9,14,G,BB9,65,1600
Carp Lake,6/23/23,OT,BURB,10,15,G,BB10,64,1500
Carp Lake,6/23/23,OT,BURB,11,15,G,BB11,62.5,1350
Carp Lake,6/24/23,OT,BURB,12,15,G,BB12,89,4000
Carp Lake,6/24/23,OT,BURB,13,15,G,BB13,76,2650
Carp Lake,6/24/23,OT,BURB,14,15,G,BB14,53,1050
Carp Lake,6/25/23,OT,BURB,20,15,G,BB20,72,2700
Carp Lake,8/4/23,OT,BURB,45,15,G,BB45,81,2650
Carp Lake,8/4/23,OT,BURB,49,15,G,BB49,60.5,1200
Carp Lake,8/5/23,OT,BURB,51,15,G,BB51,65,1850
Carp Lake,8/20/23,OT,BURB,54,15,G,BB54,NA,1450
Carp Lake,5/27/23,OT,BURB,5,16,G,BB5,85.5,4600
Carp Lake,6/24/23,OT,BURB,16,16,G,BB16,NA,NA
Carp Lake,6/25/23,OT,BURB,19,16,G,BB19,58,1000
Carp Lake,6/25/23,OT,BURB,22,16,G,BB22,56,1220
Carp Lake,7/5/23,OT,BURB,35,16,G,BB35,57.5,1350
Carp Lake,8/2/23,OT,BURB,40,16,G,BB40,65,1850
Carp Lake,8/1/23,OT,BURB,42,16,G,BB42,92,3800
Carp Lake,8/4/23,OT,BURB,44,16,G,BB44,95,2900
Carp Lake,8/16/23,OT,BURB,53,16,G,BB53,65,NA
Carp Lake,5/27/23,OT,BURB,4,17,G,BB4,62.5,1700
Carp Lake,6/25/23,OT,BURB,21,17,G,BB21,66,1870
Carp Lake,7/1/23,OT,BURB,30,17,G,BB30,65,NA
Carp Lake,7/1/23,OT,BURB,31,17,G,BB31,60,NA
Carp Lake,7/23/23,OT,BURB,37,17,G,BB37,79,2850
Carp Lake,7/23/23,OT,BURB,38,17,G,BB38,87,3600
Carp Lake,8/4/23,OT,BURB,46,17,G,BB46,94,5800
Carp Lake,8/4/23,OT,BURB,48,17,G,BB48,88,3450
Carp Lake,6/14/23,OT,BURB,7403,17,G,BB7403,89.8,5300
Carp Lake,7/2/23,OT,BURB,33,19,G,BB33,95,5300
Carp Lake,8/2/23,OT,BURB,41,19,G,BB41,84.5,3950
Fraser Lake,8/4/22,OT,Burbot,7479,5,G,BB7479,43,350
Fraser Lake,8/26/21,OT,Burbot,2,7,G,BB-02,47.5,800
Fraser Lake,8/6/16,OT,Burbot,A,9,G,BB-A,64.4,1550
Fraser Lake,8/8/16,OT,Burbot,2016,9,G,BB-01-2016,53.3,900
Fraser Lake,8/6/16,OT,Burbot,B,10,G,BB-B,45,500
Fraser Lake,8/8/16,OT,Burbot,C,12,G,BB-C,67.9,2050
Fraser Lake,8/26/21,OT,Burbot,1,12,G,BB-01,56,1000
Fraser Lake,8/4/22,OT,Burbot,7366,14,G,BB7366,65.5,1100
Fraser Lake,8/4/22,OT,Burbot,7368,15,G,BB7368,66,1350
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
