ID,occ1 - Spr22,occ2 - Sum 22,occ3 - F22,occ4 - Spr23,occ5 - Sum 23,ch,ch_LD,,
7034,1,0,0,0,0,10000,1000000000,,
7036,1,0,0,0,0,10000,1000000000,,
7037,1,0,0,0,0,10000,1000000000,,
7038,1,0,0,0,0,10000,1000000000,,LDLDLDLDLD
7040,1,0,0,0,0,10000,1000000000,,
7041,1,0,0,0,0,10000,1000000000,,
7042,1,0,0,0,0,10000,1000000000,,
7043,1,1,0,0,0,11000,1001000000,,
7044,1,0,0,1,0,10010,1000001000,,
7045,1,0,0,0,0,10000,1000000000,,
7046,1,0,0,0,0,10000,1000000000,,
7047,1,0,0,0,0,10000,1000000000,,
7048,1,0,0,0,0,10000,1000000000,,
7049,1,0,0,0,0,10000,1000000000,,
7050,1,0,0,0,0,10000,1000000000,,
7051,1,0,0,0,0,10000,1000000000,,
7052,1,0,0,1,0,10010,1000000100,,
7053,1,0,0,0,0,10000,1000000000,,
7055,1,0,0,0,0,10000,1000000000,,
7194,1,0,0,0,0,10000,1000000000,,
7195,1,0,0,0,0,10000,1000000000,,
7196,1,0,0,0,0,10000,1000000000,,
7197,1,0,0,0,0,10000,1000000000,,
7199,1,0,0,0,0,10000,1000000000,,
7200,1,0,0,0,0,10000,1000000000,,
7201,1,0,0,0,0,10000,1000000000,,
7202,1,0,0,0,0,10000,1000000000,,
7203,1,0,0,0,0,10000,1000000000,,
7205,1,0,0,0,0,10000,1000000000,,
7206,1,0,0,0,0,10000,1000000000,,
7371,1,0,0,0,0,10000,1000000000,,
7372,1,0,0,1,0,10010,1000001000,,
7373,1,0,0,0,0,10000,1000000000,,
7374,1,0,0,1,0,10010,1000001000,,
7375,1,0,0,0,0,10000,1000000000,,
7376,1,0,0,1,0,10010,1000001000,,
7377,1,0,0,0,0,10000,1000000000,,
7378,1,0,0,0,0,10000,1000000000,,
7379,1,0,0,0,0,10000,1000000000,,
7380,1,0,0,0,0,10000,1000000000,,
7381,1,1,0,0,0,11000,1001000000,,
7382,1,0,0,0,0,10000,1000000000,,
7383,1,0,0,0,0,10000,1000000000,,
7384,1,0,0,0,0,10000,1000000000,,
7385,1,0,0,0,1,10001,1000000001,,
7386,1,0,0,0,0,10000,1000000000,,
7387,1,0,0,0,0,10000,1000000000,,
7388,1,0,0,0,0,10000,1000000000,,
7389,1,0,0,0,0,10000,1000000000,,
7390,1,0,0,0,0,10000,1000000000,,
7391,1,0,0,0,0,10000,1000000000,,
7392,1,0,0,0,0,10000,1000000000,,
7393,1,0,0,0,0,10000,1000000000,,
7394,1,0,0,0,0,10000,1000000000,,
7396,1,0,0,0,0,10000,1000000000,,
7398,1,0,0,0,0,10000,1000000000,,
7461,1,0,0,0,0,10000,1000000000,,
7462,1,0,0,0,0,10000,1000000000,,
7463,1,0,0,0,0,10000,1000000000,,
7464,1,0,0,0,0,10000,1000000000,,
7465,1,0,0,1,0,10010,1000001000,,
7466,1,0,0,0,0,10000,1000000000,,
7467,1,0,0,0,0,10000,1000000000,,
7468,1,0,0,0,0,10000,1000000000,,
7469,1,0,0,0,0,10000,1000000000,,
7482,1,0,0,0,1,10001,1000000001,,
7483,1,0,0,0,0,10000,1000000000,,
7484,1,0,0,0,0,10000,1000000000,,
7485,1,0,0,0,0,10000,1000000000,,
7561,1,0,0,0,0,10000,1000000000,,
7562,1,0,0,0,0,10000,1000000000,,
7564,1,0,0,0,0,10000,1000000000,,
7565,1,0,0,0,0,10000,1000000000,,
7566,1,0,0,0,0,10000,1000000000,,
7567,1,0,0,0,0,10000,1000000000,,
7568,1,0,0,0,1,10001,1000000001,,
7569,1,0,0,0,0,10000,1000000000,,
7570,1,1,0,0,0,11000,1010000000,,
7571,1,0,0,0,0,10000,1000000000,,
7572,1,0,0,0,0,10000,1000000000,,
7575,1,0,0,0,0,10000,1000000000,,
7576,1,0,0,0,0,10000,1000000000,,
7577,1,0,0,0,0,10000,1000000000,,
7578,1,0,0,0,0,10000,1000000000,,
7580,1,0,0,0,0,10000,1000000000,,
7581,1,0,0,0,0,10000,1000000000,,
7582,1,0,0,0,0,10000,1000000000,,
7583,1,0,0,0,0,10000,1000000000,,
7585,1,0,0,0,0,10000,1000000000,,
7586,1,0,0,0,0,10000,1000000000,,
7587,1,0,0,0,0,10000,1000000000,,
7400,NA,NA,1,0,0,00100,0000100000,,
7401,NA,NA,1,0,0,00100,0000100000,,
7402,NA,NA,1,0,0,00100,0000100000,,
7403,NA,NA,1,1,0,00110,0000100100,,
7404,NA,NA,1,0,0,00100,0000100000,,
7405,NA,NA,1,0,0,00100,0000100000,,
7406,NA,NA,1,0,0,00100,0000100000,,
7407,NA,NA,1,0,0,00100,0000100000,,
7408,NA,NA,1,0,0,00100,0000100000,,
7409,NA,NA,1,0,0,00100,0000100000,,
7410,NA,NA,1,0,0,00100,0000100000,,
7589,NA,NA,1,0,0,00100,0000100000,,
7590,NA,NA,1,0,0,00100,0000100000,,
7592,NA,NA,1,0,0,00100,0000100000,,
7593,NA,NA,1,0,0,00100,0000100000,,
7595,NA,NA,1,1,0,00110,0000101000,,
7597,NA,NA,1,0,0,00100,0000100000,,
7598,NA,NA,1,0,0,00100,0000100000,,
7599,NA,NA,1,0,0,00100,0000100000,,
7600,NA,NA,1,0,0,00100,0000100000,,
7601,NA,NA,1,0,0,00100,0000100000,,
7602,NA,NA,1,0,0,00100,0000100000,,
7311,NA,NA,1,0,0,00100,0000100000,,
2609,NA,NA,NA,1,0,00010,0000001000,,
7262,NA,NA,NA,1,0,00010,0000001000,,
7263,NA,NA,NA,1,0,00010,0000001000,,
7265,NA,NA,NA,1,0,00010,0000001000,,
7266,NA,NA,NA,1,0,00010,0000001000,,
7267,NA,NA,NA,1,0,00010,0000001000,,
7269,NA,NA,NA,1,0,00010,0000001000,,
7271,NA,NA,NA,1,0,00010,0000001000,,
7272,NA,NA,NA,1,0,00010,0000001000,,
7273,NA,NA,NA,1,0,00010,0000001000,,
7275,NA,NA,NA,1,0,00010,0000001000,,
7276,NA,NA,NA,1,0,00010,0000001000,,
7277,NA,NA,NA,1,1,00011,0000001001,,
7278,NA,NA,NA,1,0,00010,0000001000,,
7279,NA,NA,NA,1,0,00010,0000001000,,
7280,NA,NA,NA,1,0,00010,0000001000,,
7281,NA,NA,NA,1,0,00010,0000001000,,
7282,NA,NA,NA,1,0,00010,0000001000,,
7283,NA,NA,NA,1,0,00010,0000001000,,
7284,NA,NA,NA,1,0,00010,0000001000,,
7285,NA,NA,NA,1,0,00010,0000001000,,
7286,NA,NA,NA,1,0,00010,0000001000,,
7287,NA,NA,NA,1,0,00010,0000001000,,
7288,NA,NA,NA,1,1,00011,0000001001,,
7289,NA,NA,NA,1,0,00010,0000001000,,
