Date,method,month,year,fish_num,catch_date
6/23/22,setline,June,2022,1,6/9/22
8/18/22,setline,July,2022,2,7/31/22
5/23/23,setline,May,2023,3,5/21/23
6/1/23,setline,May,2023,4,5/20/23
6/9/23,setline,June,2023,5,6/8/23
6/25/23,setline,June,2023,6,6/25/23
6/25/23,setline,June,2023,7,6/25/23
7/1/23,setline,July,2023,8,7/1/23
7/20/23,setline,June,2023,9,6/14/23
7/31/23,setline,July,2023,10,7/31/23
8/1/23,setline,August,2023,11,8/1/23
8/2/23,setline,July,2023,12,7/7/23
8/2/23,setline,August,2023,13,8/2/23
8/3/23,setline,August,2023,14,8/3/23
8/8/23,setline,August,2023,15,8/6/23
8/16/23,setline,July,2023,16,7/29/23
8/28/23,jigging,June,2023,17,6/10/23
4/11/24,winter setline,March,2024,18,3/31/24
5/22/24,setline,May,2024,19,5/20/24
6/10/24,setline,June,2024,20,6/10/24
7/2/24,setline,June,2024,21,6/22/24
7/29/24,setline,July,2024,22,7/25/24
8/30/24,setline,August,2024,23,8/22/24
9/13/24,setline,September,2024,24,9/1/24
10/7/24,setline,September,2024,25,9/30/24
3/17/25,setline,March,2025,26,3/8/25
3/17/25,setline,March,2025,27,3/9/25
3/20/25,setline,March,2025,28,3/19/25
3/24/25,setline,March,2025,29,3/23/25
3/31/25,setline,March,2025,30,3/26/25
3/31/25,setline,March,2025,31,3/26/25
4/2/25,setline,April,2025,32,4/2/25
4/4/25,setline,April,2025,33,4/4/25
4/14/25,setline,April,2025,34,4/12/25
5/23/25,setline,May,2025,35,5/20/25
5/30/25,setline,May,2025,36,5/28/25
6/12/25,setline,June,2025,37,6/5/25
